case,fixed_t,t_low,pps_low,bpp_low,t_mid,pps_mid,bpp_mid,t_high,pps_high,bpp_high,t_anchor,pps_anchor,bpp_anchor,final_thresholds
raw_entropy,,1.1904,36.44,3.5035,1.4946,28.92,4.4340,1.7988,23.31,5.5025,1.3340,32.80,3.9014,"['1.1904', '1.3340', '1.4946', '1.7988']"
raw_monotonicity,,0.2359,36.02,3.5029,0.5928,28.49,4.4239,0.9496,22.94,5.4956,0.3662,32.75,3.8556,"['0.2359', '0.3662', '0.5928', '0.9496']"
norm_entropy,,0.4072,35.90,3.5004,0.7222,28.58,4.4002,1.0371,22.93,5.4939,0.5293,32.81,3.8309,"['0.4072', '0.5293', '0.7222', '1.0371']"
combined,0.5000,0.0000,35.80,3.5320,0.4688,30.47,4.1464,0.9375,23.06,5.4683,0.2578,32.82,3.8523,"['0.0000', '0.2578', '0.4688', '0.9375']"
