case,fixed_t,t_low,pps_low,bpp_low,t_mid,pps_mid,bpp_mid,t_high,pps_high,bpp_high,t_anchor,pps_anchor,bpp_anchor,final_thresholds
raw_entropy,,1.6279,35.98,3.5714,1.9207,28.67,4.4821,2.2134,22.95,5.6050,1.7488,32.78,3.9219,"['1.6279', '1.7488', '1.9207', '2.2134']"
raw_monotonicity,,0.4227,35.97,3.5063,0.7856,28.14,4.4856,1.1486,22.97,5.4882,0.5552,32.76,3.8495,"['0.4227', '0.5552', '0.7856', '1.1486']"
