case,fixed_t,t_low,pps_low,bpp_low,t_mid,pps_mid,bpp_mid,t_high,pps_high,bpp_high,t_anchor,pps_anchor,bpp_anchor,final_thresholds
raw_entropy,,1.8320,35.95,3.5524,2.1167,28.81,4.4240,2.4014,23.00,5.5250,1.9448,32.77,3.8970,"['1.8320', '1.9448', '2.1167', '2.4014']"
raw_monotonicity,,0.5206,35.97,3.5000,0.8922,28.39,4.4402,1.2639,22.99,5.4859,0.6646,32.74,3.8448,"['0.5206', '0.6646', '0.8922', '1.2639']"
