case,fixed_t,t_low,pps_low,bpp_low,t_mid,pps_mid,bpp_mid,t_high,pps_high,bpp_high,t_anchor,pps_anchor,bpp_anchor,final_thresholds
raw_entropy,,1.9421,36.01,7.0885,2.2228,28.92,8.8142,2.5034,22.96,11.0434,2.0630,32.76,7.7909,"['1.9421', '2.0630', '2.2228', '2.5034']"
raw_monotonicity,,0.5437,36.03,6.9828,0.9297,28.51,8.8273,1.3157,23.00,10.9378,0.6877,32.82,7.6670,"['0.5437', '0.6877', '0.9297', '1.3157']"
