Language  Premium  PPS      BPP
tam_Taml  2.5928   93.2889  4.2878
kat_Geor  2.3908   86.0201  4.3453
tha_Thai  2.2501   80.9569  4.2930
amh_Ethi  2.0301   73.0431  2.9990
heb_Hebr  1.9102   68.7272  2.5461
srp_Cyrl  1.7307   62.2718  3.6472
arb_Arab  1.7233   62.0050  3.2446
jpn_Jpan  1.4312   51.4945  3.1174
kor_Hang  1.3907   50.0361  3.0253
cmn_Hans  1.2695   45.6750  2.5749
vie_Latn  1.2665   45.5677  3.8480
deu_Latn  1.1903   42.8255  3.4882
nya_Latn  1.1770   42.3470  3.3581
spa_Latn  1.1295   40.6379  3.7535
ron_Latn  1.1262   40.5206  3.6856
fra_Latn  1.1207   40.3220  3.8450
ita_Latn  1.0963   39.4463  3.7680
fin_Latn  1.0617   38.2016  3.6539
hrv_Latn  1.0502   37.7844  3.3747
eng_Latn  1.0000   35.9799  3.4927

# eng_Latn reference (raw_monotonicity, t_0.5758, t_lower_bound): pps=35.9799	bpp=3.4927
