Code,Script,Glottocode,Name,Notes,Family,Subfamily_1,Subfamily_2,Full_Classification,Minimal Full Classification,Language,Code_orig,Sentences,Total patches,Total bytes,Avg b/patch,Avg patches/sent,Premium vs EN
gaz,Latn,west2721,West Central Oromo,,Afro-Asiatic,Cushitic,East Cushitic,Afro-Asiatic > Cushitic > East Cushitic > Lowland East Cushitic > Southern Lowland East Cushitic > Mainstream Lowland East Cushitic > Oromoid > Nuclear Oromo,Afro-Asiatic > Cushitic > Oromoid,West Central Oromo,gaz_Latn,997,119675,151153,1.263,120.0351,4.9524
gla,Latn,scot1245,Scottish Gaelic,,Indo-European,Classical Indo-European,Celtic,Indo-European > Classical Indo-European > Celtic > Nuclear Celtic > Core Celtic > Insular Celtic > Goidelic > Modern Goidelic > Eastern Goidelic,Indo-European > Celtic > Goidelic > Eastern Goidelic,Scottish Gaelic,gla_Latn,997,135417,161658,1.1938,135.8245,5.6039
gle,Latn,iris1253,Irish,,Indo-European,Classical Indo-European,Celtic,Indo-European > Classical Indo-European > Celtic > Nuclear Celtic > Core Celtic > Insular Celtic > Goidelic > Modern Goidelic,Indo-European > Celtic > Goidelic,Irish,gle_Latn,997,132352,154606,1.1681,132.7503,5.477
glg,Latn,gali1258,Galician,,Indo-European,Classical Indo-European,Italic,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance > West Ibero-Romance > Galician Romance,Indo-European > Italic > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance > West Ibero-Romance > Galician Romance,Galician,glg_Latn,997,48246,142116,2.9457,48.3912,1.9965
gom,Deva,goan1235,Goan Konkani,dev only,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Indo-Aryan Southern zone > Marathic > Marathi-Konkani,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Indo-Aryan Southern zone,Goan Konkani,gom_Deva,997,81235,319430,3.9322,81.4794,3.3617
gug,Latn,para1311,Paraguayan Guaraní,,Tupian,Eastern Tupian,Maweti-Guarani,Tupian > Eastern Tupian > Maweti-Guarani > Aweti-Guarani > Tupi-Guarani > Southern Tupi-Guarani > Tupi-Guarani Subgroup I > Tupi-Guarani Subgroup I.A > Paraguay-Brazil Guarani,Tupian,Paraguayan Guaraní,gug_Latn,997,106609,136756,1.2828,106.9298,4.4117
guj,Gujr,guja1252,Gujarati,,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Apabhramsic > Gujarati-Rajasthani > Gujaratic,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Apabhramsic,Gujarati,guj_Gujr,997,88282,314723,3.565,88.5476,3.6533
hat,Latn,hait1244,Haitian Creole,,Indo-European,Classical Indo-European,Italic,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Northwestern Shifted Romance > Gallo-Rhaetian > Oil > Central Oil > Macro-French > Circum-Caribbean French,Indo-European > Italic > Italo-Western Romance > Western Romance > Shifted Western Romance > Northwestern Shifted Romance > Gallo-Rhaetian > Circum-Caribbean French,Haitian Creole,hat_Latn,997,97665,118826,1.2167,97.9589,4.0416
hau,Latn,haus1257,Hausa,,Afro-Asiatic,Chadic,West Chadic,Afro-Asiatic > Chadic > West Chadic > West Chadic A > West Chadic A.1,Afro-Asiatic > Chadic,Hausa,hau_Latn,997,107483,137707,1.2812,107.8064,4.4479
heb,Hebr,hebr1245,Hebrew,,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Northwest Semitic > Canaanite > Hebrewic,Afro-Asiatic > Semitic > Central Semitic > Northwest Semitic,Hebrew,heb_Hebr,997,78200,174464,2.231,78.4353,3.2361
hin,Deva,hind1269,Hindi,,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Indo-Aryan Central zone > Western Hindi > Hindustani,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Indo-Aryan Central zone,Hindi,hin_Deva,997,76179,322253,4.2302,76.4082,3.1525
hne,Deva,chha1249,Chhattisgarhi,,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Eastern Hindi,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Eastern Hindi,Chhattisgarhi,hne_Deva,997,77748,310580,3.9947,77.9819,3.2174
hrv,Latn,croa1245,Croatian,,Indo-European,Classical Indo-European,Balto-Slavic,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian,Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian,Croatian,hrv_Latn,997,62050,127130,2.0488,62.2367,2.5678
hun,Latn,hung1274,Hungarian,,Uralic,Hungaric,,Uralic > Hungaric,Uralic > Hungaric,Hungarian,hun_Latn,997,56566,144968,2.5628,56.7362,2.3408
hye,Armn,nucl1235,Armenian,,Indo-European,Classical Indo-European,Armenic,Indo-European > Classical Indo-European > Armenic > Eastern-Western Armenian,Indo-European > Armenic,Armenian,hye_Armn,997,117766,257750,2.1887,118.1204,4.8734
ibo,Latn,nucl1417,Igbo,,Atlantic-Congo,Volta-Congo,Benue-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Igboid > Nuclear Igboid > Central-Northern Igbo,Atlantic-Congo > Volta-Congo > Benue-Congo > Igboid,Igbo,ibo_Latn,997,117074,149769,1.2793,117.4263,4.8448
ilo,Latn,ilok1237,Ilocano,,Austronesian,Malayo-Polynesian,Northern Luzon,Austronesian > Malayo-Polynesian > Northern Luzon,Austronesian > Northern Luzon,Ilocano,ilo_Latn,997,106210,152021,1.4313,106.5296,4.3952
ind,Latn,indo1316,Indonesian,,Austronesian,Malayo-Polynesian,Malayo-Chamic,Austronesian > Malayo-Polynesian > Malayo-Chamic > Malayic > Nuclear Malayic > Standard Malay-Indonesian,Austronesian > Malayo-Chamic > Malayic > Standard Malay-Indonesian,Indonesian,ind_Latn,997,47653,136386,2.8621,47.7964,1.972
isl,Latn,icel1247,Icelandic,,Indo-European,Classical Indo-European,Germanic,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > North Germanic > West Scandinavian > Icelandic-Faroese,Indo-European > Germanic > North Germanic > West Scandinavian > Icelandic-Faroese,Icelandic,isl_Latn,997,112197,137283,1.2236,112.5346,4.643
ita,Latn,ital1282,Italian,,Indo-European,Classical Indo-European,Italic,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Italo-Dalmatian > Italian Romance > Central Italian Romance,Indo-European > Italic > Italo-Western Romance > Italo-Dalmatian > Italian Romance > Central Italian Romance,Italian,ita_Latn,997,40961,148188,3.6178,41.0843,1.6951
jav,Latn,java1254,Javanese,,Austronesian,Malayo-Polynesian,Javanesic,Austronesian > Malayo-Polynesian > Javanesic > Modern Javanese > Global Javanese,Austronesian > Javanesic,Javanese,jav_Latn,997,83935,130556,1.5554,84.1876,3.4734
jpn,Jpan,nucl1643,Japanese,,Japonic,Japanesic,Japan-Taiwan Japanese,Japonic > Japanesic > Japan-Taiwan Japanese,Japonic,Japanese,jpn_Jpan,997,45093,160048,3.5493,45.2287,1.866
kab,Latn,kaby1243,Kabyle,,Afro-Asiatic,Berber,Kabyle-Atlas Berber,Afro-Asiatic > Berber > Kabyle-Atlas Berber,Afro-Asiatic > Berber > Kabyle-Atlas Berber,Kabyle,kab_Latn,997,117063,132753,1.134,117.4152,4.8443
kac,Latn,kach1280,Jingpho,,Sino-Tibetan,Brahmaputran,Jingpho-Luish,Sino-Tibetan > Brahmaputran > Jingpho-Luish > Jingpho,Sino-Tibetan > Brahmaputran > Jingpho-Luish,Jingpho,kac_Latn,997,112019,158191,1.4122,112.3561,4.6356
kam,Latn,kamb1297,Kamba,,Atlantic-Congo,Volta-Congo,Benue-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > East Bantu > Northeast Savanna Bantu > Central Kenya Bantu > Kamba-Dhaisu,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > East Bantu > Northeast Savanna Bantu > Central Kenya Bantu > Kamba-Dhaisu,Kamba,kam_Latn,997,99916,127523,1.2763,100.2166,4.1347
kan,Knda,nucl1305,Kannada,,Dravidian,South Dravidian,South Dravidian I,Dravidian > South Dravidian > South Dravidian I > Tamil-Kannada > Badaga-Kannada > Kannadoid > Nuclear Kannaoid,Dravidian > South Dravidian I > Badaga-Kannada,Kannada,kan_Knda,997,94953,357459,3.7646,95.2387,3.9294
kas,Arab,kash1277,Kashmiri (Arabic script),,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Eastern Dardic > Kashmiric,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Eastern Dardic > Kashmiric,Kashmiri (Arabic),kas_Arab,997,92640,216843,2.3407,92.9188,3.8336
kas,Deva,kash1277,Kashmiri (Devanagari script),,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Eastern Dardic > Kashmiric,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Eastern Dardic > Kashmiric,Kashmiri (Devanagari),kas_Deva,997,81205,302085,3.72,81.4493,3.3604
kat,Geor,nucl1302,Georgian,,Kartvelian,Georgian-Zan,Georgic,Kartvelian > Georgian-Zan > Georgic,Kartvelian,Georgian,kat_Geor,997,113798,372658,3.2747,114.1404,4.7092
kaz,Cyrl,kaza1248,Kazakh,,Turkic,Common Turkic,Kipchak-Turkestan,Turkic > Common Turkic > Kipchak-Turkestan > Kipchak > Southeast Kipchak > South Kipchak,Turkic > Common Turkic > Kipchak-Turkestan > Kipchak > Southeast Kipchak > South Kipchak,Kazakh,kaz_Cyrl,997,96318,236955,2.4601,96.6078,3.9858
kbp,Latn,kabi1261,Kabiyè,,Atlantic-Congo,Volta-Congo,North Volta-Congo,Atlantic-Congo > Volta-Congo > North Volta-Congo > Gur > Central Gur > Southern Central Gur > Grusi > East-West Grusi > Eastern Grusi > Kabiyeic,Atlantic-Congo > Volta-Congo > North Volta-Congo > Gur > Southern Central Gur,Kabiyè,kbp_Latn,997,148423,173445,1.1686,148.8696,6.1421
kea,Latn,kabu1256,Kabuverdianu,,Indo-European,Classical Indo-European,Italic,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance > West Ibero-Romance > Galician Romance > Macro-Portuguese > Upper Guinea Portuguese,Indo-European > Italic > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance > West Ibero-Romance > Galician Romance > Macro-Portuguese > Upper Guinea Portuguese,Kabuverdianu,kea_Latn,997,84659,127590,1.5071,84.9137,3.5034
khk,Cyrl,halh1238,Halh Mongolian (Cyrillic script),,Mongolic-Khitan,Mongolic,Eastern Mongolic,Mongolic-Khitan > Mongolic > Eastern Mongolic > Khalkha-Buriat > Mongolian,Mongolic-Khitan,Halh Mongolian (Cyrillic),khk_Cyrl,997,93884,241785,2.5754,94.1665,3.8851
khm,Khmr,cent1989,Khmer (Central),,Austroasiatic,Khmeric,,Austroasiatic > Khmeric,Austroasiatic > Khmeric,Khmer,khm_Khmr,997,131592,427210,3.2465,131.988,5.4456
kik,Latn,kiku1240,Kikuyu,,Atlantic-Congo,Volta-Congo,Benue-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > East Bantu > Northeast Savanna Bantu > Central Kenya Bantu > Gikuyu-Temi,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > East Bantu > Northeast Savanna Bantu > Central Kenya Bantu > Gikuyu-Temi,Kikuyu,kik_Latn,997,134756,163569,1.2138,135.1615,5.5765
kin,Latn,kiny1244,Kinyarwanda,,Atlantic-Congo,Volta-Congo,Benue-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > East Bantu > Northeast Savanna Bantu > Great Lakes Bantu > Western Lakes Bantu > Kivu > West Highlands Kivu,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > East Bantu > Northeast Savanna Bantu > Great Lakes Bantu > Western Lakes Bantu,Kinyarwanda,kin_Latn,997,111694,143205,1.2821,112.0301,4.6221
kir,Cyrl,kirg1245,Kyrgyz,,Turkic,Common Turkic,Kipchak-Turkestan,Turkic > Common Turkic > Kipchak-Turkestan > Kipchak > Southeast Kipchak > East Kipchak,Turkic > Common Turkic > Kipchak-Turkestan > Kipchak > Southeast Kipchak > East Kipchak,Kyrgyz,kir_Cyrl,997,86079,235680,2.738,86.338,3.5621
kjh,Cyrl,khak1248,Khakas,,Turkic,Common Turkic,South Siberian Turkic,Turkic > Common Turkic > South Siberian Turkic > Sayan-Yenisei Turkic > Yenisey Turkic,Turkic > Common Turkic > South Siberian Turkic > Yenisey Turkic,Khakas,kjh_Cyrl,997,91069,251751,2.7644,91.343,3.7686
kmb,Latn,kimb1241,Kimbundu,,Atlantic-Congo,Volta-Congo,Benue-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > Central-Western Bantu > Njila > Northern Njila > Mbundu (H.20),Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Central-Western Bantu > Njila > Northern Njila,Kimbundu,kmb_Latn,997,103977,139665,1.3432,104.2899,4.3028
kmr,Latn,nort2641,Northern Kurdish,,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Iranian-Nuristani > Iranian > Central Iranian PBS > Central Iranian PB > Northwestern Iranian > Laki-Kurdish > Kurdish,Indo-European > Indo-Iranian > Iranian-Nuristani > Central Iranian PBS,Northern Kurdish,kmr_Latn,997,118515,138907,1.1721,118.8716,4.9044
knc,Arab,cent2050,Central Kanuri (Arabic script),,Saharan,Western Saharan,Kanuri-Kanembu,Saharan > Western Saharan > Kanuri-Kanembu > Kanuric > East Kanuri,Saharan,Central Kanuri (Arabic),knc_Arab,997,67867,201126,2.9635,68.0712,2.8085
knc,Latn,cent2050,Central Kanuri (Latin script),,Saharan,Western Saharan,Kanuri-Kanembu,Saharan > Western Saharan > Kanuri-Kanembu > Kanuric > East Kanuri,Saharan,Central Kanuri (Latin),knc_Latn,997,111989,139286,1.2437,112.326,4.6344
kor,Hang,kore1280,Korean,,Koreanic,,,Koreanic,Koreanic,Korean,kor_Hang,997,42916,150918,3.5166,43.0451,1.776
ktu,Latn,kitu1246,Kituba (DRC),,Atlantic-Congo,Volta-Congo,Benue-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > Central-Western Bantu > West-Coastal Bantu > Nzadic > Lweric > Dingic > Loange-Atlantic > KLC Extended > Kikongo Language Cluster > Nuclear KLC > Kikongoic > Kambakunyic Kikongo > Kilaadic Kikongo > Central-Southern Kikongo > Southeastern Kikongo > Southern Kikongo > Koongo-Kituba,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Central-Western Bantu > West-Coastal Bantu,Kanuri (Latin),ktu_Latn,997,98019,142987,1.4588,98.3139,4.0562
lao,Laoo,laoo1244,Lao,,Tai-Kadai,Kam-Tai,Daic-Beic,Tai-Kadai > Kam-Tai > Daic-Beic > Daic > Central-Southwestern Tai > Wenma-Southwestern Tai > Sapa-Southwestern Tai > Southwestern Tai > Southwestern Thai PH > Lao-Thai,Tai-Kadai > Southwestern Thai PH,Lao,lao_Laoo,997,115578,344878,2.9839,115.9258,4.7829
lij,Latn,geno1240,Ligurian (Genoese),,Indo-European,Classical Indo-European,Italic,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Northwestern Shifted Romance > Gallo-Italian > Ligurian,Indo-European > Italic > Italo-Western Romance > Western Romance > Shifted Western Romance > Northwestern Shifted Romance > Gallo-Italian > Ligurian,Ligurian,lij_Latn,997,78124,146052,1.8695,78.3591,3.2329
lim,Latn,limb1263,Limburgish,,Indo-European,Classical Indo-European,Germanic,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > High German > Middle German > West Middle German > Middle Franconian > Ripuarian,Indo-European > Germanic > West Germanic > High German > Middle German > West Middle German > Ripuarian,Limburgish,lim_Latn,997,79378,133846,1.6862,79.6169,3.2848
lin,Latn,ling1263,Lingala,,Atlantic-Congo,Volta-Congo,Benue-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > Central-Western Bantu > North Zaire River > Rivers Bantu > Ngiri > Ngiri Riverain Ubangi > Ngiri Riverain Ubangi-Ripuaire > Bobangic > Bobangic Riverain > Bobangi-Bangala-Lingala > Lingala-Bangala,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Central-Western Bantu > North Zaire River,Lingala,lin_Latn,997,96069,135557,1.411,96.3581,3.9755
lit,Latn,lith1251,Lithuanian,,Indo-European,Classical Indo-European,Balto-Slavic,Indo-European > Classical Indo-European > Balto-Slavic > Eastern Baltic,Indo-European > Balto-Slavic > Eastern Baltic,Lithuanian,lit_Latn,997,108035,134578,1.2457,108.3601,4.4707
lld,Latn,ladi1250,Ladin (Val Badia),,Indo-European,Classical Indo-European,Italic,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Italo-Dalmatian > Italian Romance,Indo-European > Italic > Italo-Western Romance > Italo-Dalmatian > Italian Romance,Ladin,lld_Latn,997,93308,137633,1.475,93.5888,3.8613
lld,Latn,gard1241,Ladin (Gherdëina),,Indo-European,Classical Indo-European,Italic,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Italo-Dalmatian > Italian Romance > Ladin,Indo-European > Italic > Italo-Western Romance > Italo-Dalmatian > Italian Romance > Ladin,Ladin (Gardena),lld_Latn_gard1241,997,94700,138244,1.4598,94.985,3.9189
lmo,Latn,lomb1257,Lombard,[1],Indo-European,Classical Indo-European,Italic,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Northwestern Shifted Romance > Gallo-Italian > Piemontese-Lombard,Indo-European > Italic > Italo-Western Romance > Western Romance > Shifted Western Romance > Northwestern Shifted Romance > Gallo-Italian > Piemontese-Lombard,Lombard,lmo_Latn,997,87793,145484,1.6571,88.0572,3.6331
ltg,Latn,east2282,Latgalian,,Indo-European,Classical Indo-European,Balto-Slavic,Indo-European > Classical Indo-European > Balto-Slavic > Eastern Baltic > Latvian,Indo-European > Balto-Slavic > Eastern Baltic > Latvian,Latgalian,ltg_Latn,997,109559,131761,1.2026,109.8887,4.5338
ltz,Latn,luxe1241,Luxembourgish,,Indo-European,Classical Indo-European,Germanic,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > High German > Middle German > West Middle German > Middle Franconian,Indo-European > Germanic > West Germanic > High German > Middle German > West Middle German,Luxembourgish,ltz_Latn,997,90580,144824,1.5989,90.8526,3.7484
lua,Latn,luba1249,Luba-Kasai,,Atlantic-Congo,Volta-Congo,Benue-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > Central-Western Bantu > Luban > Luba-Kaonde > Lubaic > Bangubangu-Kasai,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Central-Western Bantu > Luban,Luba-Kasai,lua_Latn,997,97706,134901,1.3807,98.0,4.0433
lug,Latn,gand1255,Ganda,,Atlantic-Congo,Volta-Congo,Benue-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > East Bantu > Northeast Savanna Bantu > Great Lakes Bantu > West Nyanza > North Nyanza,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > East Bantu > Northeast Savanna Bantu > Great Lakes Bantu > West Nyanza,Ganda,lug_Latn,997,101861,129453,1.2709,102.1675,4.2152
luo,Latn,luok1236,Luo,,Nilotic,Western Nilotic,Lwoo,Nilotic > Western Nilotic > Lwoo > Southern Lwoo > Adhola-Alur-Luo > Adhola-Luo,Nilotic > Lwoo,Luo,luo_Latn,997,101516,131934,1.2996,101.8215,4.201
lus,Latn,lush1249,Mizo,,Sino-Tibetan,Kuki-Chin-Naga,Kuki-Chin,Sino-Tibetan > Kuki-Chin-Naga > Kuki-Chin > Central Kuki-Chin > Core Central Kuki-Chin > Mizoic,Sino-Tibetan > Kuki-Chin-Naga > Kuki-Chin,Mizo,lus_Latn,997,100436,136932,1.3634,100.7382,4.1563
lvs,Latn,stan1325,Standard Latvian,,Indo-European,Classical Indo-European,Balto-Slavic,Indo-European > Classical Indo-European > Balto-Slavic > Eastern Baltic > Latvian > Low Latvian,Indo-European > Balto-Slavic > Eastern Baltic > Latvian > Low Latvian,Latvian,lvs_Latn,997,114060,140378,1.2307,114.4032,4.7201
mag,Deva,maga1260,Magahi,,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Bihari > Magadhan,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Bihari,Magahi,mag_Deva,997,76718,310320,4.0449,76.9488,3.1748
mai,Deva,mait1250,Maithili,,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Bihari > Magadhan,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Bihari,Maithili,mai_Deva,997,82111,318194,3.8752,82.3581,3.3979
mal,Mlym,mala1464,Malayalam,,Dravidian,South Dravidian,South Dravidian I,Dravidian > South Dravidian > South Dravidian I > Tamil-Kannada > Tamil-Kota > Tamil-Toda > Tamil-Irula > Tamil-Kodagu > Tamil-Malayalam > Malayalamoid,Dravidian > South Dravidian I > Tamil-Kota > Malayalamoid,Malayalam,mal_Mlym,997,99465,391356,3.9346,99.7643,4.1161
mar,Deva,mara1378,Marathi,,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Indo-Aryan Southern zone > Marathic > Marathi-Konkani > Old-Modern Marathi > Modern Marathi,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Indo-Aryan Southern zone > Old-Modern Marathi,Marathi,mar_Deva,997,83476,335677,4.0212,83.7272,3.4544
mfe,Latn,mori1278,Mauritian Creole,,Indo-European,Classical Indo-European,Italic,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Northwestern Shifted Romance > Gallo-Rhaetian > Oil > Central Oil > Macro-French > Isle-de-France Creole,Indo-European > Italic > Italo-Western Romance > Western Romance > Shifted Western Romance > Northwestern Shifted Romance > Gallo-Rhaetian > Isle-de-France Creole,Morisyen,mfe_Latn,997,89745,117892,1.3136,90.015,3.7138
mhr,Cyrl,gras1239,Meadow Mari,,Uralic,Mari,Eastern Mari,Uralic > Mari > Eastern Mari,Uralic > Mari,Eastern Mari,mhr_Cyrl,997,73359,241034,3.2857,73.5797,3.0358
min,Arab,mina1268,Minangkabau (Jawi script),,Austronesian,Malayo-Polynesian,Malayo-Chamic,Austronesian > Malayo-Polynesian > Malayo-Chamic > Malayic > Nuclear Malayic > Northern Sumatra Malay > Kerinci-Minangkabau > Minangkabauic,Austronesian > Malayo-Chamic > Malayic > Northern Sumatra Malay,Minangkabau (Arabic),min_Arab,997,82706,218096,2.637,82.9549,3.4226
min,Latn,mina1268,Minangkabau (Latin script),,Austronesian,Malayo-Polynesian,Malayo-Chamic,Austronesian > Malayo-Polynesian > Malayo-Chamic > Malayic > Nuclear Malayic > Northern Sumatra Malay > Kerinci-Minangkabau > Minangkabauic,Austronesian > Malayo-Chamic > Malayic > Northern Sumatra Malay,Minangkabau (Latin),min_Latn,997,77407,133317,1.7223,77.6399,3.2033
mkd,Cyrl,mace1250,Macedonian,,Indo-European,Classical Indo-European,Balto-Slavic,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Eastern South Slavic > Macedo-Bulgarian,Indo-European > Balto-Slavic > Slavic > South Slavic > Eastern South Slavic,Macedonian,mkd_Cyrl,997,36866,237676,6.447,36.9769,1.5256
mlt,Latn,malt1254,Maltese,,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > North African Arabic > Western Middle Arabic > Maghrebi > Malta-Tunisian Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > North African Arabic > Malta-Tunisian Arabic,Maltese,mlt_Latn,997,120218,145371,1.2092,120.5797,4.9749
mni,Beng,mani1292,"Meitei (Manipuri, Bengali script)",,Sino-Tibetan,Kuki-Chin-Naga,,Sino-Tibetan > Kuki-Chin-Naga,Sino-Tibetan > Kuki-Chin-Naga,Meitei (Bengali),mni_Beng,997,91971,347444,3.7778,92.2477,3.806
mni,Mtei,mani1292,"Meitei (Manipuri, Meitei script)",dev only,Sino-Tibetan,Kuki-Chin-Naga,,Sino-Tibetan > Kuki-Chin-Naga,Sino-Tibetan > Kuki-Chin-Naga,Meitei (Meitei Mayek),mni_Mtei,997,130403,323782,2.4829,130.7954,5.3964
mos,Latn,moss1236,Mossi,,Atlantic-Congo,Volta-Congo,North Volta-Congo,Atlantic-Congo > Volta-Congo > North Volta-Congo > Gur > Central Gur > Northern Central Gur > Bwamu-Oti-Volta > Oti-Volta > Nuclear Oti-Volta > Gurma-Yom-Oti-Volta Occidental > Oti-Volta Occidental > Nuclear Oti-Volta Occidental > Northwest Oti-Volta > Mossi-Farefare > Mossic,Atlantic-Congo > Volta-Congo > North Volta-Congo > Gur > Northern Central Gur,Mossi,mos_Latn,997,107610,130902,1.2164,107.9338,4.4531
