Glottocode,Code,Code_Orig,Sentences,Notes,CC_Pages,CC_Urls,Name,Script,Script_Type,Bytes_Per_Char,Family,Full_Classification,Minimal_Full_Classification,combined_t_0.0000_bpp,combined_t_0.0000_pps,combined_t_0.2578_bpp,combined_t_0.2578_pps,combined_t_0.4688_bpp,combined_t_0.4688_pps,combined_t_0.9375_bpp,combined_t_0.9375_pps,norm_entropy_t_0.4072_bpp,norm_entropy_t_0.4072_pps,norm_entropy_t_0.5293_bpp,norm_entropy_t_0.5293_pps,norm_entropy_t_0.7222_bpp,norm_entropy_t_0.7222_pps,norm_entropy_t_1.0371_bpp,norm_entropy_t_1.0371_pps,raw_entropy_t_1.1904_bpp,raw_entropy_t_1.1904_pps,raw_entropy_t_1.3340_bpp,raw_entropy_t_1.3340_pps,raw_entropy_t_1.4946_bpp,raw_entropy_t_1.4946_pps,raw_entropy_t_1.7988_bpp,raw_entropy_t_1.7988_pps,raw_monotonicity_t_0.2359_bpp,raw_monotonicity_t_0.2359_pps,raw_monotonicity_t_0.3662_bpp,raw_monotonicity_t_0.3662_pps,raw_monotonicity_t_0.5928_bpp,raw_monotonicity_t_0.5928_pps,raw_monotonicity_t_0.9496_bpp,raw_monotonicity_t_0.9496_pps,combined_t_0.0000_pps_premium,combined_t_0.2578_pps_premium,combined_t_0.4688_pps_premium,combined_t_0.9375_pps_premium,norm_entropy_t_0.4072_pps_premium,norm_entropy_t_0.5293_pps_premium,norm_entropy_t_0.7222_pps_premium,norm_entropy_t_1.0371_pps_premium,raw_entropy_t_1.1904_pps_premium,raw_entropy_t_1.3340_pps_premium,raw_entropy_t_1.4946_pps_premium,raw_entropy_t_1.7988_pps_premium,raw_monotonicity_t_0.2359_pps_premium,raw_monotonicity_t_0.3662_pps_premium,raw_monotonicity_t_0.5928_pps_premium,raw_monotonicity_t_0.9496_pps_premium
sout2697,azb,azb_Arab,997,,101494110.0,101070335.0,South Azerbaijani,Arab,Abjad,2 bytes,Turkic,Turkic > Common Turkic > Oghuz > Nuclear Oghuz > Central Oghuz,Turkic > Common Turkic > Oghuz > Central Oghuz,1.9452,105.3631,2.638,77.6931,3.5455,57.8064,7.6444,26.8104,2.9976,68.3711,3.6414,56.2828,4.8413,42.334,7.6336,26.8485,1.2722,161.0993,1.4069,145.676,1.6483,124.34,2.9736,68.9228,2.5509,80.344,3.0503,67.1896,4.293,47.7412,7.8254,26.1906,2.9428,2.3673,1.8971,1.1628,1.9047,1.7156,1.4812,1.1706,4.4207,4.4416,4.2987,2.9541,2.2303,2.0508,1.676,1.1419
nort2697,azj,azj_Latn,997,,101494110.0,101070335.0,North Azerbaijani,Latn,Alphabet,1 byte,Turkic,Turkic > Common Turkic > Oghuz > Nuclear Oghuz > Central Oghuz,Turkic > Common Turkic > Oghuz > Central Oghuz,2.0397,77.8877,2.4714,64.2839,2.8522,55.7011,4.0996,38.7523,2.5479,62.3531,3.0813,51.5597,4.46,35.6209,7.9392,20.011,1.2065,131.679,1.2315,129.01,1.266,125.4885,1.37,115.9679,2.4198,65.655,2.6467,60.0261,3.1037,51.1876,4.1311,38.4574,2.1754,1.9587,1.828,1.6807,1.737,1.5716,1.2463,0.8725,3.6134,3.9334,4.3384,4.9705,1.8225,1.8321,1.797,1.6767
bash1264,bak,bak_Cyrl,997,,3656842.0,3651302.0,Bashkir,Cyrl,Alphabet,2 bytes,Turkic,Turkic > Common Turkic > Kipchak-Turkestan > Kipchak > Northwest Kipchak > North Kipchak > Bashkiric,Turkic > Common Turkic > Kipchak-Turkestan > Kipchak > Northwest Kipchak > North Kipchak,1.9693,118.9659,2.4259,96.5737,3.0264,77.4132,6.2692,37.3701,2.9543,79.3009,3.3966,68.9749,4.3117,54.336,6.6975,34.9799,1.2689,184.6389,1.367,171.3872,1.5232,153.8064,2.0757,112.8656,2.367,98.9779,2.6935,86.9799,3.5454,66.0802,6.4071,36.5657,3.3228,2.9426,2.5406,1.6208,2.2091,2.1024,1.9011,1.5252,5.0666,5.2255,5.3175,4.8376,2.7475,2.6548,2.3199,1.5942
bamb1269,bam,bam_Latn,997,,,,Bambara,Latn,Alphabet,1 byte,Mande,Mande > Western Mande > Manding-Kpelle > Central Mande > Manding-Jogo > Manding-Vai > Manding-Mokole > Manding > East Manding,Mande,1.979,66.4483,2.5085,52.4233,3.1917,41.2016,6.3645,20.662,2.6454,49.7101,3.0823,42.664,4.0537,32.4403,6.8557,19.1815,1.0776,122.0311,1.0954,120.0502,1.1213,117.2738,1.1987,109.7091,2.4372,53.9569,2.8162,46.6961,3.7354,35.2046,6.4624,20.349,1.8559,1.5973,1.3522,0.8961,1.3848,1.3004,1.135,0.8363,3.3486,3.6602,4.0544,4.7023,1.4978,1.4253,1.2359,0.8872
bali1278,ban,ban_Latn,997,,,,Balinese,Latn,Alphabet,1 byte,Austronesian,Austronesian > Malayo-Polynesian > Bali-Sasak-Sumbawa,Austronesian > Bali-Sasak-Sumbawa,2.0838,67.7182,2.4557,57.4634,2.8687,49.1906,4.8536,29.0742,2.7454,51.4002,3.1986,44.1174,4.2295,33.3641,6.6267,21.2949,1.2002,117.5737,1.2517,112.7402,1.3393,105.3611,1.6379,86.1555,2.3964,58.8867,2.6349,53.5567,3.1948,44.1705,4.9336,28.6028,1.8914,1.7509,1.6144,1.261,1.4319,1.3447,1.1673,0.9285,3.2263,3.4374,3.6426,3.6927,1.6346,1.6347,1.5507,1.247
bela1254,bel,bel_Cyrl,997,,33213142.0,33052697.0,Belarusian,Cyrl,Alphabet,2 bytes,Indo-European,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > East Slavic,Indo-European > Balto-Slavic > Slavic > East Slavic,1.98,133.011,2.3043,114.2919,2.7167,96.9428,4.9801,52.8826,3.267,80.6128,3.664,71.8776,4.4136,59.671,5.9615,44.1775,2.2624,116.4112,2.6612,98.9639,3.2489,81.0622,4.9074,53.667,2.2496,117.0702,2.4844,106.005,3.086,85.34,5.0711,51.9338,3.715,3.4824,3.1815,2.2935,2.2457,2.1909,2.0877,1.9262,3.1944,3.0173,2.8025,2.3002,3.2498,3.2355,2.996,2.2642
bemb1257,bem,bem_Latn,997,,,,Bemba,Latn,Alphabet,1 byte,Atlantic-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > East Bantu > Sabi > Malungu-Central Sabi > Central Sabi > Bemba (M.40),Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > East Bantu > Sabi,1.9762,79.0361,2.3473,66.5416,2.8429,54.9408,5.6763,27.5165,2.6842,58.1906,3.1261,49.9639,4.1848,37.324,7.1683,21.7894,1.1217,139.2437,1.1528,135.4925,1.1999,130.1765,1.3729,113.7673,2.3004,67.8977,2.5648,60.8977,3.2842,47.5587,5.8073,26.8957,2.2075,2.0275,1.8031,1.1934,1.6211,1.5229,1.3059,0.9501,3.8209,4.1311,4.5005,4.8762,1.8848,1.8587,1.6696,1.1726
beng1280,ben,ben_Beng,997,,177892101.0,177246797.0,Bengali,Beng,Abugida,3 bytes,Indo-European,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Indo-Aryan Eastern zone > Oriya-Gauda-Kamrupa > Gauda-Kamrupa > Gauda-Banga,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Indo-Aryan Eastern zone > Gauda-Kamrupa > Gauda-Banga,2.2951,144.0311,2.5238,130.9809,2.7768,119.0451,3.8048,86.8796,3.5673,92.666,3.7759,87.5466,4.1786,79.1083,5.1052,64.7503,3.1241,105.8114,3.297,100.2618,3.5011,94.4162,4.0349,81.9268,2.4472,135.0802,2.6138,126.4684,2.9618,111.6088,3.7903,87.2126,4.0228,3.9909,3.9069,3.768,2.5815,2.6685,2.7678,2.8232,2.9035,3.0569,3.2642,3.5115,3.7497,3.8601,3.9182,3.8023
bhoj1244,bho,bho_Deva,997,,,,Bhojpuri,Deva,Abugida,3 bytes,Indo-European,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Bihari > Magadhan > Bhojpuric,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Bihari > Bhojpuric,2.364,131.7182,2.5493,122.1444,2.7423,113.5476,3.7655,82.6931,3.5068,88.7934,3.6992,84.1745,4.1393,75.2247,4.9899,62.4012,3.2212,96.665,3.3681,92.4504,3.5391,87.9829,4.1413,75.1886,2.4676,126.1866,2.5958,119.9539,2.9762,104.6239,3.742,83.2106,3.6789,3.7217,3.7265,3.5864,2.4736,2.5657,2.6319,2.7208,2.6525,2.8187,3.0418,3.2227,3.5028,3.6612,3.673,3.6278
banj1239,bjn,bjn_Arab,997,,,,Banjar (Jawi script),Arab,Abjad,2 bytes,Austronesian,Austronesian > Malayo-Polynesian > Malayo-Chamic > Malayic > Nuclear Malayic > East Borneo Malay > Banjar-Berau-Brunei Malay > Banjar-Bukit Malay,Austronesian > Malayo-Chamic > Malayic > East Borneo Malay,1.9693,107.9348,2.4034,88.4393,2.9427,72.2317,6.1496,34.5637,2.9324,72.4835,3.2383,65.6379,3.8617,55.0411,5.8466,36.3551,1.2929,164.4032,1.4591,145.679,1.7783,119.5246,2.7225,78.0742,2.3505,90.4303,2.645,80.3601,3.4183,62.1815,6.2846,33.8215,3.0147,2.6947,2.3706,1.499,2.0192,2.0007,1.9257,1.5852,4.5113,4.4416,4.1323,3.3464,2.5103,2.4527,2.183,1.4746
banj1239,bjn,bjn_Latn,997,,,,Banjar (Latin script),Latn,Alphabet,1 byte,Austronesian,Austronesian > Malayo-Polynesian > Malayo-Chamic > Malayic > Nuclear Malayic > East Borneo Malay > Banjar-Berau-Brunei Malay > Banjar-Bukit Malay,Austronesian > Malayo-Chamic > Malayic > East Borneo Malay,2.0857,63.5637,2.3935,55.3902,2.7391,48.4002,4.2446,31.2337,2.7678,47.8987,3.1569,41.995,4.055,32.6941,6.2846,21.0953,1.2828,103.347,1.3727,96.5777,1.5163,87.4303,1.9058,69.5627,2.3434,56.5727,2.5499,51.993,2.9931,44.2939,4.3049,30.7964,1.7754,1.6877,1.5884,1.3546,1.3343,1.28,1.1439,0.9198,2.8359,2.9446,3.0227,2.9816,1.5704,1.5869,1.555,1.3427
utsa1239,bod,bod_Tibt,997,,2687733.0,2676577.0,Lhasa Tibetan,Tibt,Abugida,3 bytes,Sino-Tibetan,Sino-Tibetan > Bodic > Bodish > Early Old Tibetan > Middle Old Tibetan > Late Old Tibetan > Central Tibetan > Tibetan > Ü,Sino-Tibetan > Bodic > Central Tibetan,2.1179,198.3119,2.231,188.2628,2.4616,170.6269,3.5672,117.7442,3.9694,105.8114,4.0157,104.5928,4.0884,102.7332,4.2656,98.4654,3.4473,121.8385,3.7,113.5165,3.8658,108.6479,3.9998,105.008,2.126,197.5557,2.2995,182.656,2.6615,157.8084,3.5638,117.8566,5.5389,5.7363,5.5998,5.1066,2.9477,3.1881,3.5944,4.2933,3.3433,3.461,3.7562,4.5008,5.484,5.575,5.5401,5.1383
bosn1245,bos,bos_Latn,997,,89749135.0,89368171.0,Bosnian,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian,Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian,2.1748,59.995,2.5985,50.2106,3.0627,42.6008,4.4702,29.1876,2.9594,44.0883,3.3712,38.7031,4.15,31.4393,5.7974,22.5055,1.4051,92.8596,1.5148,86.1344,1.6811,77.6118,2.13,61.2568,2.525,51.672,2.8016,46.5717,3.3702,38.7141,4.5108,28.9248,1.6757,1.5299,1.3981,1.2659,1.2282,1.1797,1.1,0.9813,2.5481,2.6262,2.6832,2.6256,1.4344,1.4215,1.3591,1.2611
bodo1269,brx,brx_Deva,997,dev only,,,Bodo,Deva,Abugida,3 bytes,Sino-Tibetan,Sino-Tibetan > Brahmaputran > Bodo-Garo > Boroic > Tiwa-Boro > Bodo-Mech-Kachari,Sino-Tibetan > Brahmaputran > Bodo-Garo,2.3713,149.0331,2.5994,135.9579,2.7885,126.7372,3.6039,98.0632,3.4301,103.0301,3.6169,97.7101,4.0466,87.335,5.0625,69.8084,3.0882,114.4383,3.2542,108.5988,3.4078,103.7041,3.9649,89.1344,2.5344,139.4443,2.6641,132.653,2.9476,119.8947,3.5889,98.4734,4.1625,4.1426,4.1594,4.253,2.8702,2.9783,3.0556,3.0438,3.1403,3.3111,3.5853,3.8204,3.8709,4.0488,4.2091,4.2932
bugi1244,bug,bug_Latn,997,,,,Buginese,Latn,Alphabet,1 byte,Austronesian,Austronesian > Malayo-Polynesian > Greater South Sulawesi > South Sulawesi > Tamanic-Bugis > Bugis,Austronesian > Greater South Sulawesi,1.9989,69.3892,2.3775,58.339,2.8446,48.7593,5.1779,26.7874,2.7274,50.8546,3.2065,43.2568,4.4333,31.2859,7.0832,19.5817,1.1485,120.7693,1.1825,117.2929,1.2393,111.9188,1.4318,96.8686,2.3242,59.678,2.5849,53.659,3.2312,42.9258,5.267,26.334,1.9381,1.7776,1.6002,1.1618,1.4167,1.3185,1.0946,0.8538,3.314,3.5762,3.8693,4.1519,1.6566,1.6378,1.507,1.1481
bulg1262,bul,bul_Cyrl,997,,565391748.0,562504908.0,Bulgarian,Cyrl,Alphabet,2 bytes,Indo-European,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Eastern South Slavic > Macedo-Bulgarian,Indo-European > Balto-Slavic > Slavic > South Slavic > Eastern South Slavic,2.2952,103.6981,2.6599,89.4824,3.164,75.2247,6.1034,38.996,3.6557,65.1063,4.1167,57.8154,5.0053,47.5517,6.7124,35.4584,3.7421,63.6038,4.5497,52.3129,5.6007,42.4965,8.0499,29.5667,2.503,95.0903,2.8337,83.993,3.6944,64.4243,6.2184,38.2748,2.8963,2.7265,2.4688,1.6913,1.8137,1.7623,1.6637,1.5461,1.7453,1.595,1.4692,1.2673,2.6396,2.5636,2.2617,1.6687
stan1289,cat,cat_Latn,997,,437938570.0,434641260.0,Catalan,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance,Indo-European > Italic > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance,2.4687,57.2688,2.8892,48.9328,3.3292,42.4664,4.8785,28.9799,3.0417,46.4794,3.4086,41.4774,4.0595,34.8265,5.354,26.4062,1.8939,74.6499,2.0926,67.5617,2.3679,59.7071,3.1821,44.4293,2.7356,51.68,3.0383,46.5316,3.655,38.681,4.9147,28.7663,1.5995,1.491,1.3937,1.2569,1.2948,1.2643,1.2185,1.1514,2.0484,2.0599,2.0642,1.9043,1.4346,1.4202,1.358,1.2542
cebu1242,ceb,ceb_Latn,997,,4026407.0,4021798.0,Cebuano,Latn,Alphabet,1 byte,Austronesian,Austronesian > Malayo-Polynesian > Greater Central Philippine > Central Philippine > Bisayan,Austronesian > Greater Central Philippine > Bisayan,2.1575,69.8556,2.4552,61.3862,2.7857,54.1043,4.2413,35.5356,2.5526,59.0451,2.8646,52.6138,3.5848,42.0431,6.2255,24.2096,1.252,120.3761,1.3248,113.7693,1.4463,104.2096,1.7478,86.2317,2.4143,62.4253,2.6057,57.8405,3.0471,49.4614,4.2979,35.0672,1.9511,1.8704,1.7756,1.5412,1.6449,1.6037,1.471,1.0556,3.3032,3.4687,3.6028,3.696,1.7329,1.7654,1.7364,1.5289
czec1258,ces,ces_Latn,997,,2097546956.0,2080674183.0,Czech,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > West Slavic > Czech-Slovak,Indo-European > Balto-Slavic > Slavic > West Slavic > Czech-Slovak,2.3961,56.9218,2.7716,49.2096,3.1639,43.1073,4.5408,30.0361,2.8716,47.4955,3.209,42.5025,3.9255,34.7442,5.623,24.2558,1.7248,79.0772,1.8774,72.6479,2.0812,65.5326,2.5914,52.6309,2.6439,51.5858,2.915,46.7894,3.4417,39.6279,4.5683,29.8556,1.5898,1.4994,1.4147,1.3027,1.3231,1.2955,1.2156,1.0576,2.1699,2.215,2.2656,2.2558,1.432,1.4281,1.3912,1.3016
chuv1255,chv,chv_Cyrl,997,,,,Chuvash,Cyrl,Alphabet,2 bytes,Turkic,Turkic > Bolgar,Turkic > Bolgar,2.0139,120.1494,2.4191,100.0251,2.9381,82.3551,5.5109,43.9077,2.9602,81.7422,3.3267,72.7362,4.0808,59.2949,6.1548,39.3139,1.3051,185.4082,1.4232,170.0201,1.6036,150.8917,2.1874,110.6219,2.3672,102.2187,2.6494,91.329,3.3798,71.5928,5.6111,43.1234,3.3558,3.0477,2.7028,1.9043,2.2772,2.2171,2.0746,1.7142,5.0877,5.1838,5.2167,4.7414,2.8375,2.7875,2.5134,1.8801
chok1245,cjk,cjk_Latn,997,,,,Chokwe,Latn,Alphabet,1 byte,Atlantic-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > Central-Western Bantu > Njila > Southern Njila > Chokwe-Lunda > Chokwe-Ngangela-Nyemba (K.20) > Chokwe-Lwena,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Central-Western Bantu > Njila > Southern Njila > Chokwe-Lunda,1.9491,70.1314,2.2944,59.5777,2.767,49.4022,5.3428,25.5848,2.6569,51.4493,3.0865,44.2879,4.0716,33.5727,6.9997,19.5286,1.1135,122.7553,1.1453,119.3521,1.197,114.1956,1.4033,97.4102,2.2463,60.8526,2.5008,54.66,3.1613,43.2397,5.4286,25.1805,1.9588,1.8153,1.6213,1.1096,1.4333,1.3499,1.1746,0.8515,3.3685,3.639,3.948,4.1751,1.6892,1.6683,1.518,1.0978
cent1972,ckb,ckb_Arab,997,,12098280.0,12051123.0,Central Kurdish,Arab,Abjad,2 bytes,Indo-European,Indo-European > Classical Indo-European > Indo-Iranian > Iranian-Nuristani > Iranian > Central Iranian PBS > Central Iranian PB > Northwestern Iranian > Laki-Kurdish > Kurdish,Indo-European > Indo-Iranian > Iranian-Nuristani > Central Iranian PBS,1.9748,117.9679,2.8916,80.5637,4.2775,54.4614,12.9056,18.0512,3.2565,71.5366,3.894,59.8255,5.0165,46.4393,7.7069,30.2277,1.1358,205.0993,1.1992,194.2558,1.3419,173.6098,2.238,104.0933,2.7717,84.0491,3.481,66.9228,5.5728,41.8034,13.3354,17.4694,3.2949,2.4548,1.7874,0.7829,1.9928,1.8235,1.6248,1.318,5.6281,5.9227,6.0021,4.4616,2.3331,2.0426,1.4676,0.7616
beij1234,cmn,cmn_Hans,997,,10899511187.0,10856245131.0,Mandarin Chinese (Standard Beijing),Hans,Logographic,3 bytes,Sino-Tibetan,Sino-Tibetan > Sinitic > Classical-Middle-Modern Sinitic > Middle-Modern Sinitic > Northern Chinese > Mandarinic > Mandarin Chinese > Beijingic,Sino-Tibetan > Sinitic > Northern Chinese,2.0223,58.1555,2.2391,52.5236,2.4543,47.9178,3.3462,35.1464,2.9728,39.5607,3.444,34.1484,4.248,27.6851,5.7113,20.5918,1.387,84.7914,1.4524,80.9739,1.5569,75.5386,1.9367,60.7252,2.1757,54.0552,2.3144,50.8154,2.618,44.9228,3.3665,34.9348,1.6243,1.6004,1.5726,1.5243,1.1021,1.0409,0.9686,0.8978,2.3267,2.4688,2.6116,2.6028,1.5005,1.551,1.5771,1.5231
taib1240,cmn,cmn_Hant,997,,10899511187.0,10856245131.0,Mandarin Chinese (Taiwanese),Hant,Logographic,3 bytes,Sino-Tibetan,Sino-Tibetan > Sinitic > Classical-Middle-Modern Sinitic > Middle-Modern Sinitic > Northern Chinese > Mandarinic > Mandarin Chinese > Beijingic,Sino-Tibetan > Sinitic > Northern Chinese,1.961,57.008,2.1676,51.5747,2.3749,47.0722,3.1516,35.4714,3.1192,35.8405,3.571,31.3059,4.2824,26.1053,5.4927,20.3531,1.3385,83.5196,1.3969,80.0281,1.4871,75.1775,1.8413,60.7131,2.1113,52.9509,2.2477,49.7372,2.5292,44.2016,3.1737,35.2247,1.5923,1.5715,1.5449,1.5384,0.9984,0.9542,0.9134,0.8874,2.2918,2.44,2.5991,2.6023,1.4699,1.5181,1.5518,1.5357
crim1257,crh,crh_Latn,997,,,,Crimean Tatar,Latn,Alphabet,1 byte,Turkic,Turkic > Common Turkic > Kipchak-Turkestan > Kipchak > Northwest Kipchak > West Kipchak > Crimean Tatar-Urum > Crimeaic,Turkic > Common Turkic > Kipchak-Turkestan > Kipchak > Northwest Kipchak > West Kipchak,2.0564,69.1846,2.4304,58.5376,2.7848,51.0873,4.195,33.9137,2.6693,53.2979,3.1865,44.6479,4.4467,31.994,7.3976,19.2317,1.2209,116.5236,1.2628,112.658,1.3261,107.2839,1.5458,92.0381,2.3787,59.8084,2.5923,54.8806,3.0323,46.9178,4.2364,33.5827,1.9323,1.7836,1.6766,1.4709,1.4848,1.3609,1.1194,0.8385,3.1975,3.4349,3.7091,3.9449,1.6602,1.6751,1.6471,1.4641
wels1247,cym,cym_Latn,997,,20737905.0,20624391.0,Welsh,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Celtic > Nuclear Celtic > Core Celtic > Insular Celtic > Brythonic > Old-Modern Welsh,Indo-European > Celtic > Brythonic,2.1047,63.9147,2.8677,46.9087,3.7572,35.8034,7.2445,18.5687,2.9073,46.2698,3.6241,37.1184,5.0643,26.5627,7.3687,18.2558,1.0647,126.342,1.0772,124.8806,1.0931,123.0652,1.1391,118.0893,2.7795,48.3982,3.2696,41.1434,4.4104,30.5005,7.3088,18.4052,1.7852,1.4293,1.175,0.8053,1.289,1.1314,0.9294,0.796,3.4669,3.8075,4.2547,5.0615,1.3435,1.2558,1.0708,0.8024
dani1285,dan,dan_Latn,997,,880593500.0,873291872.0,Danish,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > North Germanic > South Scandinavian,Indo-European > Germanic > North Germanic > South Scandinavian,2.4132,54.7382,2.8242,46.7733,3.2585,40.5386,4.5513,29.0241,2.9794,44.336,3.4052,38.7924,4.2062,31.4052,5.6374,23.4323,1.5951,82.8154,1.7222,76.7041,1.913,69.0522,2.4887,53.0782,2.7039,48.8546,2.988,44.2086,3.554,37.1685,4.5836,28.8195,1.5289,1.4252,1.3304,1.2588,1.2351,1.1824,1.0988,1.0217,2.2725,2.3387,2.3873,2.275,1.3562,1.3493,1.3049,1.2565
darg1241,dar,dar_Cyrl,997,dev only,,,Dargwa,Cyrl,Alphabet,2 bytes,Nakh-Daghestanian,Nakh-Daghestanian > Daghestanian > Dargwic,Nakh-Daghestanian,1.9764,136.2076,2.2811,118.0171,2.6808,100.4193,4.8615,55.3751,2.9869,90.1284,3.3409,80.5787,3.9905,67.4604,5.7197,47.0662,1.6245,165.7161,1.8374,146.5115,2.1658,124.2949,3.2127,83.7934,2.2383,120.2728,2.4586,109.4945,3.0326,88.7703,4.9584,54.2929,3.8043,3.5959,3.2956,2.4016,2.5108,2.4561,2.3603,2.0522,4.5474,4.467,4.2972,3.5915,3.3387,3.342,3.1164,2.3671
stan1295,deu,deu_Latn,997,,11072171606.0,10978241043.0,German,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > High German > Upper German > Middle-Modern High German > Modern High German > Upper Franconian > Global German,Indo-European > Germanic > West Germanic > High German > Upper German,2.7937,53.4714,3.1423,47.5396,3.4878,42.8305,4.6979,31.7984,3.2822,45.5135,3.6465,40.9659,4.3095,34.664,5.6287,26.5396,2.359,63.324,2.6355,56.682,3.0049,49.7141,3.8666,38.6349,2.9432,50.7563,3.2358,46.1665,3.7765,39.5567,4.7302,31.5807,1.4935,1.4485,1.4056,1.3791,1.2679,1.2487,1.2128,1.1572,1.7377,1.7282,1.7187,1.6559,1.409,1.4091,1.3887,1.3769
dogr1250,dgo,dgo_Deva,997,dev only,,,Dogri,Deva,Abugida,3 bytes,Indo-European,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Eastern Dardic > Himachali > Kangric-Chamealic-Bhattiyali > Kangri-Dogri,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Eastern Dardic > Himachali,2.3769,144.0341,2.5865,132.3601,2.802,122.1836,3.811,89.8335,3.5714,95.8586,3.7678,90.8626,4.185,81.8054,5.146,66.5276,3.2161,106.4514,3.3867,101.0863,3.5843,95.5155,4.1508,82.4794,2.5008,136.8967,2.6455,129.4092,3.0441,112.4634,3.7912,90.3009,4.0229,4.033,4.0099,3.8961,2.6704,2.7696,2.8622,2.9007,2.9211,3.082,3.3022,3.5352,3.8001,3.9498,3.9482,3.9369
sout2832,dik,dik_Latn,997,,,,Southwestern Dinka,Latn,Alphabet,1 byte,Nilotic,Nilotic > Western Nilotic > Dinka-Nuer > Dinka,Nilotic > Dinka-Nuer > Dinka,2.0541,59.3751,2.4859,49.0602,3.0199,40.3862,5.5599,21.9358,2.5552,47.7312,2.9565,41.2518,3.8776,31.4524,6.8316,17.8526,1.0974,111.1314,1.1158,109.2989,1.1409,106.9017,1.2085,100.9208,2.4237,50.321,2.7192,44.8526,3.4448,35.4042,5.6154,21.7192,1.6584,1.4948,1.3254,0.9514,1.3297,1.2574,1.1004,0.7784,3.0495,3.3324,3.6958,4.3256,1.3969,1.369,1.2429,0.9469
dyul1238,dyu,dyu_Latn,997,,,,Dyula,Latn,Alphabet,1 byte,Mande,Mande > Western Mande > Manding-Kpelle > Central Mande > Manding-Jogo > Manding-Vai > Manding-Mokole > Manding > East Manding,Mande,1.942,69.4734,2.4103,55.9769,2.9872,45.1665,6.0922,22.1464,2.7514,49.0361,3.2394,41.6499,4.3046,31.343,6.6101,20.4112,1.0987,122.8004,1.1197,120.4995,1.1497,117.3521,1.255,107.5085,2.347,57.4855,2.6621,50.681,3.4564,39.0351,6.2192,21.6941,1.9404,1.7056,1.4823,0.9605,1.366,1.2695,1.0966,0.89,3.3697,3.6739,4.0571,4.608,1.5958,1.5469,1.3704,0.9458
dzon1239,dzo,dzo_Tibt,997,,208006.0,207770.0,Dzongkha,Tibt,Abugida,3 bytes,Sino-Tibetan,Sino-Tibetan > Bodic > Bodish > Early Old Tibetan > Middle Old Tibetan > Late Old Tibetan > Southern Tibetic > Dzongkhic > Nuclear Dzongkhic,Sino-Tibetan > Bodic > Southern Tibetic,1.9966,232.8576,2.1,221.3922,2.3308,199.4734,3.5243,131.9188,4.051,114.7683,4.0964,113.4965,4.1695,111.5065,4.3557,106.7392,3.4622,134.2869,3.752,123.9147,3.9311,118.2688,4.0805,113.9388,2.0053,231.8465,2.1689,214.3641,2.5492,182.3842,3.5273,131.8074,6.5038,6.7458,6.5465,5.7214,3.1972,3.4595,3.9013,4.654,3.6849,3.7781,4.0888,4.8836,6.4359,6.5428,6.4029,5.7465
