Glottocode,Code,Code_Orig,Sentences,Notes,CC_Pages,CC_Urls,Name,Script,Script_Type,Bytes_Per_Char,Family,Full_Classification,Minimal_Full_Classification,combined_t_0.0000_bpp,combined_t_0.0000_pps,combined_t_0.2578_bpp,combined_t_0.2578_pps,combined_t_0.4688_bpp,combined_t_0.4688_pps,combined_t_0.9375_bpp,combined_t_0.9375_pps,norm_entropy_t_0.4072_bpp,norm_entropy_t_0.4072_pps,norm_entropy_t_0.5293_bpp,norm_entropy_t_0.5293_pps,norm_entropy_t_0.7222_bpp,norm_entropy_t_0.7222_pps,norm_entropy_t_1.0371_bpp,norm_entropy_t_1.0371_pps,raw_entropy_t_1.1904_bpp,raw_entropy_t_1.1904_pps,raw_entropy_t_1.3340_bpp,raw_entropy_t_1.3340_pps,raw_entropy_t_1.4946_bpp,raw_entropy_t_1.4946_pps,raw_entropy_t_1.7988_bpp,raw_entropy_t_1.7988_pps,raw_monotonicity_t_0.2359_bpp,raw_monotonicity_t_0.2359_pps,raw_monotonicity_t_0.3662_bpp,raw_monotonicity_t_0.3662_pps,raw_monotonicity_t_0.5928_bpp,raw_monotonicity_t_0.5928_pps,raw_monotonicity_t_0.9496_bpp,raw_monotonicity_t_0.9496_pps,combined_t_0.0000_pps_premium,combined_t_0.2578_pps_premium,combined_t_0.4688_pps_premium,combined_t_0.9375_pps_premium,norm_entropy_t_0.4072_pps_premium,norm_entropy_t_0.5293_pps_premium,norm_entropy_t_0.7222_pps_premium,norm_entropy_t_1.0371_pps_premium,raw_entropy_t_1.1904_pps_premium,raw_entropy_t_1.3340_pps_premium,raw_entropy_t_1.4946_pps_premium,raw_entropy_t_1.7988_pps_premium,raw_monotonicity_t_0.2359_pps_premium,raw_monotonicity_t_0.3662_pps_premium,raw_monotonicity_t_0.5928_pps_premium,raw_monotonicity_t_0.9496_pps_premium
stan1318,arb,arb_Arab,997,,1258479625.0,1251265891.0,Modern Standard Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian,1.987,101.2467,2.2527,89.3079,2.5666,78.3842,3.9798,50.5496,2.7769,72.4483,2.9687,67.7673,3.435,58.5667,5.2281,38.4804,1.7407,115.5737,2.0082,100.1775,2.3861,84.3119,2.9997,67.0662,2.2246,90.4343,2.3906,84.1535,2.8436,70.7482,4.0409,49.7854,2.8279,2.7212,2.5725,2.1924,2.0182,2.0656,2.0491,1.6778,3.1714,3.0543,2.9149,2.8746,2.5104,2.5685,2.4837,2.1705
stan1318,arb,arb_Latn,997,,1258479625.0,1251265891.0,Modern Standard Arabic (Romanized),Latn,Alphabet,1 byte,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian,2.0381,72.0491,2.4814,59.1775,3.0014,48.9248,5.1167,28.6991,2.6123,56.2116,3.0355,48.3751,4.0348,36.3942,6.8473,21.4453,1.0906,134.6409,1.1147,131.7382,1.1532,127.34,1.2715,115.4845,2.4142,60.8245,2.7088,54.2106,3.3704,43.5687,5.1663,28.4233,2.0124,1.8031,1.6057,1.2447,1.5659,1.4745,1.2733,0.9351,3.6946,4.0166,4.4025,4.9498,1.6884,1.6546,1.5296,1.2392
arag1245,arg,arg_Latn,997,,,,Aragonese,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Unshifted Western Romance,Indo-European > Italic > Italo-Western Romance > Western Romance > Unshifted Western Romance,2.3209,64.0512,2.7138,54.7773,3.154,47.1324,4.7567,31.2518,2.979,49.9007,3.3493,44.3842,4.0028,37.1374,5.3739,27.662,1.7427,85.3029,1.9206,77.3992,2.1643,68.683,2.8992,51.2748,2.5888,57.4223,2.8776,51.659,3.4929,42.5587,4.795,31.002,1.789,1.669,1.5468,1.3554,1.3901,1.3529,1.2993,1.2061,2.3408,2.3598,2.3745,2.1977,1.594,1.5767,1.4941,1.3516
najd1235,ars,ars_Arab,997,,,,Najdi Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Arabian Peninsula Arabic > North Arabian Beduin Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Arabian Peninsula Arabic > North Arabian Beduin Arabic,1.9856,101.4634,2.253,89.4233,2.5691,78.4213,3.9859,50.5456,2.7785,72.5095,2.9685,67.8696,3.4365,58.6269,5.218,38.6108,1.7398,115.8014,2.0083,100.32,2.3882,84.3621,2.9989,67.1815,2.2246,90.5637,2.3925,84.2096,2.8443,70.8325,4.0486,49.7623,2.8339,2.7247,2.5737,2.1922,2.0199,2.0687,2.0512,1.6835,3.1777,3.0587,2.9166,2.8795,2.514,2.5702,2.4867,2.1695
moro1292,ary,ary_Arab,997,,,,Moroccan Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > North African Arabic > Western Middle Arabic > Maghrebi,Afro-Asiatic > Semitic > Central Semitic > Arabian > North African Arabic,1.9875,98.6229,2.2487,87.1665,2.5624,76.4955,3.99,49.1264,2.75,71.2778,2.9469,66.5135,3.4198,57.317,5.2797,37.1254,1.6915,115.8796,1.9632,99.8425,2.3369,83.8766,2.9414,66.6389,2.2208,88.2628,2.3921,81.9398,2.8236,69.4183,4.0608,48.2698,2.7546,2.6559,2.5105,2.1306,1.9856,2.0274,2.0054,1.6187,3.1798,3.0441,2.8998,2.8562,2.4501,2.501,2.4371,2.1045
egyp1253,arz,arz_Arab,997,,,,Egyptian Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Egyptic Arabic > Egypto-Sudanic Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Egyptic Arabic,1.991,98.7904,2.2567,87.1585,2.5606,76.8124,4.0215,48.9087,2.7593,71.2818,2.948,66.7202,3.4071,57.7282,5.2699,37.323,1.7185,114.4514,1.9897,98.8556,2.367,83.0953,2.9874,65.8395,2.2276,88.2949,2.3915,82.2457,2.8322,69.4463,4.0887,48.1053,2.7592,2.6557,2.5209,2.1212,1.9857,2.0337,2.0198,1.6274,3.1406,3.014,2.8728,2.822,2.451,2.5103,2.438,2.0973
assa1263,asm,asm_Beng,997,,3459776.0,3447449.0,Assamese,Beng,Abugida,3 bytes,Indo-European,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Indo-Aryan Eastern zone > Oriya-Gauda-Kamrupa > Gauda-Kamrupa > Kamrupa > Eastern Kamrupa,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Indo-Aryan Eastern zone > Gauda-Kamrupa > Kamrupa,2.2533,143.2889,2.4875,129.7994,2.7537,117.2497,3.6848,87.6219,3.5092,92.008,3.6911,87.4744,4.0645,79.4363,4.9955,64.6329,3.0723,105.0913,3.2355,99.7894,3.4108,94.662,3.8715,83.3982,2.412,133.8606,2.5897,124.675,2.9214,110.5206,3.6688,88.004,4.0021,3.9549,3.848,3.8002,2.5631,2.6663,2.7793,2.8181,2.8838,3.0425,3.2727,3.5746,3.7159,3.8053,3.88,3.8368
astu1245,ast,ast_Latn,997,,,,Asturian,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance > West Ibero-Romance > Asturo-Leonese,Indo-European > Italic > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance > West Ibero-Romance > Asturo-Leonese,2.3571,56.4925,2.753,48.3691,3.195,41.678,4.768,27.9278,3.0083,44.2638,3.3888,39.2939,4.0728,32.6951,5.4266,24.5386,1.7653,75.4333,1.9383,68.7001,2.1843,60.9639,2.9073,45.8014,2.6218,50.7904,2.9087,45.7803,3.5439,37.5747,4.8062,27.7061,1.5779,1.4738,1.3678,1.2112,1.2331,1.1977,1.1439,1.0699,2.0699,2.0946,2.1077,1.9631,1.4099,1.3973,1.3191,1.2079
awad1243,awa,awa_Deva,997,,,,Awadhi,Deva,Abugida,3 bytes,Indo-European,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Eastern Hindi > Awadhic,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Eastern Hindi > Awadhic,2.3725,133.5777,2.5523,124.1635,2.7378,115.7513,3.725,85.0752,3.5042,90.4363,3.6833,86.0381,4.1113,77.0812,5.0212,63.1143,3.2103,98.7141,3.3582,94.3671,3.5332,89.6951,4.1003,77.2889,2.471,128.2508,2.5973,122.015,2.9479,107.5025,3.7025,85.5938,3.7309,3.7832,3.7988,3.6897,2.5193,2.6225,2.6969,2.7519,2.7088,2.8772,3.101,3.3127,3.5601,3.7241,3.7741,3.7317
cent2142,ayr,ayr_Latn,997,,,,Central Aymara,Latn,Alphabet,1 byte,Aymaran,Aymaran > Central-Southern Aymara,Aymaran,2.0115,67.0211,2.5073,53.7683,3.1321,43.0421,5.5513,24.2849,2.5566,52.7302,3.0524,44.1665,4.3838,30.7523,8.5708,15.7292,1.1368,118.5868,1.1666,115.5597,1.2087,111.5346,1.3356,100.9348,2.4372,55.3149,2.7939,48.2528,3.5831,37.6249,5.6254,23.9649,1.8719,1.6383,1.4126,1.0532,1.4689,1.3462,1.0759,0.6858,3.2541,3.5233,3.856,4.3262,1.5355,1.4728,1.3209,1.0448
