Code,Script,Glottocode,Name,Notes,Family,Subfamily_1,Subfamily_2,Full_Classification,Minimal Full Classification,Language,Code_orig,Sentences,Script_Name,Script_Type,Script_Tier,Bytes_Per_Char,cc_pages,cc_urls,prem_raw_entropy_t_1.1904,prem_raw_entropy_t_1.3340,prem_raw_entropy_t_1.4946,prem_raw_entropy_t_1.7988,prem_raw_monotonicity_t_0.2359,prem_raw_monotonicity_t_0.3662,prem_raw_monotonicity_t_0.5928,prem_raw_monotonicity_t_0.9496,prem_raw_combined_t_0.2359,prem_raw_combined_t_0.3662,prem_raw_combined_t_0.5928,prem_raw_combined_t_0.9496,prem_norm_entropy_t_0.4072,prem_norm_entropy_t_0.5293,prem_norm_entropy_t_0.7222,prem_norm_entropy_t_1.0371,prem_norm_monotonicity_t_0.2480,prem_norm_monotonicity_t_0.3887,prem_norm_monotonicity_t_0.6260,prem_norm_monotonicity_t_1.0039,prem_norm_combined_t_0.2480,prem_norm_combined_t_0.3887,prem_norm_combined_t_0.6260,prem_norm_combined_t_1.0039
arb,Arab,stan1318,Modern Standard Arabic,,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian,Modern Standard Arabic,arb_Arab,997,Arabic,Abjad,2,2 bytes,1258479625,1251265891,3.1714,3.0543,2.9149,2.8746,2.5104,2.5685,2.4837,2.1705,3.4467,3.3631,3.1298,2.4041,2.0182,2.0656,2.0491,1.6778,2.5963,2.7222,2.8344,2.8686,2.8004,2.8389,2.8632,2.7718
arb,Latn,stan1318,Modern Standard Arabic (Romanized),,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian,Modern Standard Arabic (Latin),arb_Latn,997,Latin,Alphabet,1,1 byte,1258479625,1251265891,3.6946,4.0166,4.4025,4.9498,1.6884,1.6546,1.5296,1.2392,2.5368,2.3224,1.9521,1.3666,1.5659,1.4745,1.2733,0.9351,1.7523,1.7637,1.7162,1.5714,1.672,1.6185,1.5047,1.277
arg,Latn,arag1245,Aragonese,,Indo-European,Classical Indo-European,Italic,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Unshifted Western Romance,Indo-European > Italic > Italo-Western Romance > Western Romance > Unshifted Western Romance,Aragonese,arg_Latn,997,Latin,Alphabet,1,1 byte,,,2.3408,2.3598,2.3745,2.1977,1.594,1.5767,1.4941,1.3516,1.9311,1.8491,1.6818,1.4274,1.3901,1.3529,1.2993,1.2061,1.5979,1.5827,1.5067,1.3699,1.5202,1.4955,1.4232,1.2751
ars,Arab,najd1235,Najdi Arabic,,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Arabian Peninsula Arabic > North Arabian Beduin Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Arabian Peninsula Arabic > North Arabian Beduin Arabic,Najdi Arabic,ars_Arab,997,Arabic,Abjad,2,2 bytes,,,3.1777,3.0587,2.9166,2.8795,2.514,2.5702,2.4867,2.1695,3.4523,3.3669,3.1344,2.4033,2.02,2.0687,2.0512,1.6835,2.6007,2.725,2.8381,2.8711,2.8026,2.8401,2.8648,2.7725
ary,Arab,moro1292,Moroccan Arabic,,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > North African Arabic > Western Middle Arabic > Maghrebi,Afro-Asiatic > Semitic > Central Semitic > Arabian > North African Arabic,Moroccan Arabic,ary_Arab,997,Arabic,Abjad,2,2 bytes,,,3.1798,3.0441,2.8998,2.8562,2.4501,2.501,2.4371,2.1045,3.4128,3.3211,3.0872,2.3353,1.9856,2.0274,2.0054,1.6187,2.5377,2.6628,2.7803,2.8421,2.7432,2.7836,2.8135,2.7319
arz,Arab,egyp1253,Egyptian Arabic,,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Egyptic Arabic > Egypto-Sudanic Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Egyptic Arabic,Egyptian Arabic,arz_Arab,997,Arabic,Abjad,2,2 bytes,,,3.1406,3.014,2.8728,2.822,2.451,2.5103,2.438,2.0973,3.3914,3.3121,3.0843,2.327,1.9857,2.0337,2.0198,1.6274,2.5368,2.6638,2.7912,2.844,2.76,2.801,2.8329,2.7494
asm,Beng,assa1263,Assamese,,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Indo-Aryan Eastern zone > Oriya-Gauda-Kamrupa > Gauda-Kamrupa > Kamrupa > Eastern Kamrupa,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Indo-Aryan Eastern zone > Gauda-Kamrupa > Kamrupa,Assamese,asm_Beng,997,Bengali,Abugida,3,3 bytes,3459776,3447449,2.8838,3.0425,3.2727,3.5746,3.7159,3.8053,3.88,3.8368,4.1717,4.2536,4.3548,4.1756,2.5631,2.6663,2.7793,2.8181,3.6761,3.7413,3.7526,3.6765,3.6614,3.7455,3.8835,3.9376
ast,Latn,astu1245,Asturian,,Indo-European,Classical Indo-European,Italic,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance > West Ibero-Romance > Asturo-Leonese,Indo-European > Italic > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance > West Ibero-Romance > Asturo-Leonese,Asturian,ast_Latn,997,Latin,Alphabet,1,1 byte,,,2.0699,2.0946,2.1077,1.9631,1.4099,1.3973,1.3191,1.2079,1.6984,1.6253,1.4818,1.2755,1.2331,1.1977,1.1439,1.0699,1.4084,1.3924,1.3142,1.2039,1.3307,1.3099,1.2446,1.1269
awa,Deva,awad1243,Awadhi,,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Eastern Hindi > Awadhic,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Eastern Hindi > Awadhic,Awadhi,awa_Deva,997,Devanagari,Abugida,3,3 bytes,,,2.7088,2.8772,3.101,3.3127,3.5601,3.7241,3.7741,3.7317,3.9524,4.0319,4.1732,4.0875,2.5193,2.6225,2.6969,2.7519,3.5301,3.6704,3.541,3.5606,3.5994,3.6825,3.8191,3.8481
ayr,Latn,cent2142,Central Aymara,,Aymaran,Central-Southern Aymara,,Aymaran > Central-Southern Aymara,Aymaran,Central Aymara,ayr_Latn,997,Latin,Alphabet,1,1 byte,,,3.2541,3.5233,3.856,4.3262,1.5355,1.4728,1.3209,1.0448,2.2655,2.0351,1.6667,1.1471,1.4689,1.3462,1.0759,0.6858,1.5923,1.5688,1.4721,1.2852,1.5257,1.4463,1.2922,1.0476
azb,Arab,sout2697,South Azerbaijani,,Turkic,Common Turkic,Oghuz,Turkic > Common Turkic > Oghuz > Nuclear Oghuz > Central Oghuz,Turkic > Common Turkic > Oghuz > Central Oghuz,South Azerbaijani,azb_Arab,997,Arabic,Abjad,2,2 bytes,101494110,101070335,4.4207,4.4416,4.2987,2.9541,2.2303,2.0508,1.676,1.1419,3.2,2.7562,2.0599,1.2245,1.9047,1.7156,1.4812,1.1706,2.5023,2.4877,2.367,2.1134,2.038,1.9696,1.8095,1.485
azj,Latn,nort2697,North Azerbaijani,,Turkic,Common Turkic,Oghuz,Turkic > Common Turkic > Oghuz > Nuclear Oghuz > Central Oghuz,Turkic > Common Turkic > Oghuz > Central Oghuz,North Azerbaijani,azj_Latn,997,Latin,Alphabet,1,1 byte,101494110,101070335,3.6134,3.9334,4.3384,4.9706,1.8225,1.8321,1.797,1.6767,2.722,2.5521,2.2783,1.8445,1.737,1.5716,1.2463,0.8725,1.8198,1.8258,1.7879,1.6618,1.6209,1.543,1.3946,1.0932
bak,Cyrl,bash1264,Bashkir,,Turkic,Common Turkic,Kipchak-Turkestan,Turkic > Common Turkic > Kipchak-Turkestan > Kipchak > Northwest Kipchak > North Kipchak > Bashkiric,Turkic > Common Turkic > Kipchak-Turkestan > Kipchak > Northwest Kipchak > North Kipchak,Bashkir,bak_Cyrl,997,Cyrillic,Alphabet,2,2 bytes,3656842,3651302,5.0666,5.2255,5.3175,4.8376,2.7475,2.6548,2.3199,1.5942,3.9372,3.5863,2.8892,1.7446,2.2091,2.1024,1.9011,1.5252,2.8993,2.917,2.8113,2.4397,2.5081,2.4608,2.3119,1.9047
bam,Latn,bamb1269,Bambara,,Mande,Western Mande,Manding-Kpelle,Mande > Western Mande > Manding-Kpelle > Central Mande > Manding-Jogo > Manding-Vai > Manding-Mokole > Manding > East Manding,Mande,Bambara,bam_Latn,997,Latin,Alphabet,1,1 byte,,,3.3486,3.6602,4.0544,4.7023,1.4978,1.4253,1.2359,0.8872,2.2553,2.0028,1.5765,0.9784,1.3848,1.3004,1.135,0.8364,1.5699,1.5574,1.458,1.2281,1.5158,1.454,1.3099,1.016
ban,Latn,bali1278,Balinese,,Austronesian,Malayo-Polynesian,Bali-Sasak-Sumbawa,Austronesian > Malayo-Polynesian > Bali-Sasak-Sumbawa,Austronesian > Bali-Sasak-Sumbawa,Balinese,ban_Latn,997,Latin,Alphabet,1,1 byte,,,3.2263,3.4374,3.6426,3.6927,1.6346,1.6347,1.5507,1.247,2.3471,2.2001,1.9179,1.3559,1.4319,1.3447,1.1673,0.9285,1.6715,1.693,1.6676,1.5027,1.6425,1.6207,1.5521,1.3304
bel,Cyrl,bela1254,Belarusian,,Indo-European,Classical Indo-European,Balto-Slavic,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > East Slavic,Indo-European > Balto-Slavic > Slavic > East Slavic,Belarusian,bel_Cyrl,997,Cyrillic,Alphabet,2,2 bytes,33213142,33052697,3.1944,3.0173,2.8025,2.3002,3.2498,3.2355,2.996,2.2642,3.6041,3.5336,3.3129,2.4403,2.2457,2.1909,2.0877,1.9262,3.3998,3.4827,3.4957,3.2405,2.8683,2.8842,2.8798,2.7569
bem,Latn,bemb1257,Bemba,,Atlantic-Congo,Volta-Congo,Benue-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > East Bantu > Sabi > Malungu-Central Sabi > Central Sabi > Bemba (M.40),Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > East Bantu > Sabi,Bemba,bem_Latn,997,Latin,Alphabet,1,1 byte,,,3.8209,4.1311,4.5005,4.8762,1.8848,1.8587,1.6696,1.1726,2.8155,2.5927,2.1208,1.2898,1.6211,1.5229,1.3059,0.9501,1.952,1.9769,1.918,1.6321,1.862,1.8277,1.7095,1.3502
ben,Beng,beng1280,Bengali,,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Indo-Aryan Eastern zone > Oriya-Gauda-Kamrupa > Gauda-Kamrupa > Gauda-Banga,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Indo-Aryan Eastern zone > Gauda-Kamrupa > Gauda-Banga,Bengali,ben_Beng,997,Bengali,Abugida,3,3 bytes,177892101,177246797,2.9035,3.0569,3.2642,3.5115,3.7497,3.8601,3.9182,3.8023,4.2106,4.2947,4.3963,4.1404,2.5815,2.6685,2.7678,2.8232,3.7149,3.802,3.7859,3.6391,3.6688,3.754,3.8928,3.9034
bho,Deva,bhoj1244,Bhojpuri,,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Bihari > Magadhan > Bhojpuric,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Bihari > Bhojpuric,Bhojpuri,bho_Deva,997,Devanagari,Abugida,3,3 bytes,,,2.6525,2.8187,3.0418,3.2227,3.5028,3.6612,3.673,3.6278,3.8764,3.9542,4.0941,3.9656,2.4736,2.5657,2.6319,2.7208,3.475,3.6107,3.4365,3.4645,3.5168,3.5982,3.7302,3.7383
bjn,Arab,banj1239,Banjar (Jawi script),,Austronesian,Malayo-Polynesian,Malayo-Chamic,Austronesian > Malayo-Polynesian > Malayo-Chamic > Malayic > Nuclear Malayic > East Borneo Malay > Banjar-Berau-Brunei Malay > Banjar-Bukit Malay,Austronesian > Malayo-Chamic > Malayic > East Borneo Malay,Banjar (Arabic),bjn_Arab,997,Arabic,Abjad,2,2 bytes,,,4.5113,4.4417,4.1323,3.3464,2.5103,2.4527,2.183,1.4745,3.6589,3.382,2.7771,1.6281,2.0192,2.0007,1.9257,1.5851,2.7098,2.7908,2.8367,2.7705,2.6479,2.6712,2.6608,2.4611
bjn,Latn,banj1239,Banjar (Latin script),,Austronesian,Malayo-Polynesian,Malayo-Chamic,Austronesian > Malayo-Polynesian > Malayo-Chamic > Malayic > Nuclear Malayic > East Borneo Malay > Banjar-Berau-Brunei Malay > Banjar-Bukit Malay,Austronesian > Malayo-Chamic > Malayic > East Borneo Malay,Banjar (Latin),bjn_Latn,997,Latin,Alphabet,1,1 byte,,,2.8359,2.9446,3.0227,2.9816,1.5704,1.5869,1.555,1.3427,2.206,2.1021,1.9028,1.4529,1.3343,1.28,1.1439,0.9198,1.5894,1.6208,1.616,1.4975,1.5743,1.5631,1.5184,1.3527
bod,Tibt,utsa1239,Lhasa Tibetan,,Sino-Tibetan,Bodic,Bodish,Sino-Tibetan > Bodic > Bodish > Early Old Tibetan > Middle Old Tibetan > Late Old Tibetan > Central Tibetan > Tibetan > Ü,Sino-Tibetan > Bodic > Central Tibetan,Tibetan,bod_Tibt,997,Tibetan,Abugida,3,3 bytes,2687733,2676577,3.3433,3.461,3.7562,4.5008,5.484,5.575,5.5402,5.1383,4.7579,4.8544,5.0232,5.2616,2.9477,3.1881,3.5944,4.2933,5.2191,5.15,4.6229,4.5382,4.3781,4.4788,4.6463,4.9132
bos,Latn,bosn1245,Bosnian,,Indo-European,Classical Indo-European,Balto-Slavic,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian,Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian,Bosnian,bos_Latn,997,Latin,Alphabet,1,1 byte,89749135,89368171,2.5481,2.6262,2.6832,2.6256,1.4344,1.4215,1.3591,1.2611,1.9417,1.8248,1.6275,1.3592,1.2282,1.1797,1.1,0.9813,1.4426,1.4328,1.3807,1.2903,1.3039,1.2832,1.2288,1.1252
brx,Deva,bodo1269,Bodo,dev only,Sino-Tibetan,Brahmaputran,Bodo-Garo,Sino-Tibetan > Brahmaputran > Bodo-Garo > Boroic > Tiwa-Boro > Bodo-Mech-Kachari,Sino-Tibetan > Brahmaputran > Bodo-Garo,Bodo,brx_Deva,997,Devanagari,Abugida,3,3 bytes,,,3.1403,3.3111,3.5853,3.8204,3.8709,4.0488,4.2091,4.2932,4.5523,4.6462,4.8127,4.7013,2.8702,2.9783,3.0556,3.0438,3.8408,4.0045,4.0271,4.1198,4.0968,4.1927,4.3506,4.4379
bug,Latn,bugi1244,Buginese,,Austronesian,Malayo-Polynesian,Greater South Sulawesi,Austronesian > Malayo-Polynesian > Greater South Sulawesi > South Sulawesi > Tamanic-Bugis > Bugis,Austronesian > Greater South Sulawesi,Buginese,bug_Latn,997,Latin,Alphabet,1,1 byte,,,3.314,3.5762,3.8693,4.1519,1.6566,1.6378,1.507,1.1481,2.4308,2.2481,1.8927,1.2581,1.4167,1.3185,1.0946,0.8538,1.6977,1.7077,1.6471,1.4161,1.5959,1.5634,1.4587,1.1808
bul,Cyrl,bulg1262,Bulgarian,,Indo-European,Classical Indo-European,Balto-Slavic,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Eastern South Slavic > Macedo-Bulgarian,Indo-European > Balto-Slavic > Slavic > South Slavic > Eastern South Slavic,Bulgarian,bul_Cyrl,997,Cyrillic,Alphabet,2,2 bytes,565391748,562504908,1.7453,1.595,1.4692,1.2673,2.6396,2.5636,2.2617,1.6687,2.0729,2.0631,2.0056,1.6307,1.8137,1.7623,1.6637,1.5461,2.786,2.7831,2.6906,2.3373,2.2789,2.2842,2.2668,2.0914
cat,Latn,stan1289,Catalan,,Indo-European,Classical Indo-European,Italic,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance,Indo-European > Italic > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance,Catalan,cat_Latn,997,Latin,Alphabet,1,1 byte,437938570,434641260,2.0484,2.0599,2.0642,1.9043,1.4346,1.4202,1.358,1.2542,1.6682,1.6028,1.4812,1.3094,1.2948,1.2643,1.2185,1.1514,1.4364,1.4204,1.3607,1.2587,1.3618,1.3413,1.2877,1.1923
ceb,Latn,cebu1242,Cebuano,,Austronesian,Malayo-Polynesian,Greater Central Philippine,Austronesian > Malayo-Polynesian > Greater Central Philippine > Central Philippine > Bisayan,Austronesian > Greater Central Philippine > Bisayan,Cebuano,ceb_Latn,997,Latin,Alphabet,1,1 byte,4026407,4021798,3.3032,3.4687,3.6028,3.696,1.7329,1.7654,1.7364,1.5289,2.5552,2.4434,2.1992,1.682,1.6449,1.6037,1.471,1.0556,1.7535,1.802,1.8111,1.6893,1.9238,1.9015,1.8198,1.5698
ces,Latn,czec1258,Czech,,Indo-European,Classical Indo-European,Balto-Slavic,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > West Slavic > Czech-Slovak,Indo-European > Balto-Slavic > Slavic > West Slavic > Czech-Slovak,Czech,ces_Latn,997,Latin,Alphabet,1,1 byte,2097546956,2080674183,2.1699,2.215,2.2656,2.2558,1.432,1.4281,1.3912,1.3016,1.6827,1.6205,1.5179,1.3475,1.3231,1.2955,1.2156,1.0576,1.4189,1.4072,1.3581,1.2505,1.2507,1.2265,1.1814,1.0874
chv,Cyrl,chuv1255,Chuvash,,Turkic,Bolgar,,Turkic > Bolgar,Turkic > Bolgar,Chuvash,chv_Cyrl,997,Cyrillic,Alphabet,2,2 bytes,,,5.0877,5.1838,5.2167,4.7414,2.8375,2.7875,2.5134,1.8801,4.0586,3.7656,3.1438,2.0679,2.2772,2.2171,2.0746,1.7142,2.9662,3.002,2.9329,2.6137,2.6465,2.6235,2.5248,2.2031
cjk,Latn,chok1245,Chokwe,,Atlantic-Congo,Volta-Congo,Benue-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > Central-Western Bantu > Njila > Southern Njila > Chokwe-Lunda > Chokwe-Ngangela-Nyemba (K.20) > Chokwe-Lwena,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Central-Western Bantu > Njila > Southern Njila > Chokwe-Lunda,Chokwe,cjk_Latn,997,Latin,Alphabet,1,1 byte,,,3.3685,3.639,3.948,4.1751,1.6892,1.6683,1.518,1.0978,2.5153,2.3211,1.9272,1.2077,1.4333,1.3499,1.1746,0.8515,1.7475,1.7784,1.7317,1.5143,1.6641,1.6413,1.5419,1.2593
ckb,Arab,cent1972,Central Kurdish,,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Iranian-Nuristani > Iranian > Central Iranian PBS > Central Iranian PB > Northwestern Iranian > Laki-Kurdish > Kurdish,Indo-European > Indo-Iranian > Iranian-Nuristani > Central Iranian PBS,Central Kurdish,ckb_Arab,997,Arabic,Abjad,2,2 bytes,12098280,12051123,5.6281,5.9227,6.0021,4.4616,2.3331,2.0426,1.4676,0.7616,3.4371,2.8127,1.8439,0.8363,1.9928,1.8235,1.6248,1.318,2.7907,2.7611,2.6024,2.2621,2.2478,2.1986,2.0349,1.652
cmn,Hans,beij1234,Mandarin Chinese (Standard Beijing),,Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Sino-Tibetan > Sinitic > Classical-Middle-Modern Sinitic > Middle-Modern Sinitic > Northern Chinese > Mandarinic > Mandarin Chinese > Beijingic,Sino-Tibetan > Sinitic > Northern Chinese,Chinese (Simplified),cmn_Hans,997,Han (Simplified),Logographic,3,3 bytes,10899511187,10856245131,2.3267,2.4688,2.6116,2.6028,1.5005,1.551,1.5771,1.5231,2.1349,2.0794,1.9575,1.6664,1.1021,1.0409,0.9686,0.8978,1.4907,1.5336,1.5459,1.4504,1.2229,1.2232,1.1934,1.0072
cmn,Hant,taib1240,Mandarin Chinese (Taiwanese),,Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Sino-Tibetan > Sinitic > Classical-Middle-Modern Sinitic > Middle-Modern Sinitic > Northern Chinese > Mandarinic > Mandarin Chinese > Beijingic,Sino-Tibetan > Sinitic > Northern Chinese,Chinese (Traditional),cmn_Hant,997,Han (Traditional),Logographic,3,3 bytes,10899511187,10856245131,2.2918,2.44,2.5991,2.6023,1.4699,1.5181,1.5518,1.5357,2.1165,2.0541,1.9357,1.6814,0.9984,0.9542,0.9134,0.8874,1.4593,1.4984,1.5186,1.4567,1.1545,1.1618,1.1499,1.0083
crh,Latn,crim1257,Crimean Tatar,,Turkic,Common Turkic,Kipchak-Turkestan,Turkic > Common Turkic > Kipchak-Turkestan > Kipchak > Northwest Kipchak > West Kipchak > Crimean Tatar-Urum > Crimeaic,Turkic > Common Turkic > Kipchak-Turkestan > Kipchak > Northwest Kipchak > West Kipchak,Crimean Tatar,crh_Latn,997,Latin,Alphabet,1,1 byte,,,3.1975,3.4349,3.7091,3.9449,1.6602,1.6751,1.6471,1.4641,2.4307,2.2916,2.0573,1.5961,1.4848,1.3609,1.1194,0.8385,1.6703,1.691,1.6777,1.528,1.4728,1.4324,1.3567,1.1208
cym,Latn,wels1247,Welsh,,Indo-European,Classical Indo-European,Celtic,Indo-European > Classical Indo-European > Celtic > Nuclear Celtic > Core Celtic > Insular Celtic > Brythonic > Old-Modern Welsh,Indo-European > Celtic > Brythonic,Welsh,cym_Latn,997,Latin,Alphabet,1,1 byte,20737905,20624391,3.4669,3.8075,4.2547,5.0615,1.3435,1.2558,1.0708,0.8024,2.0328,1.7703,1.3696,0.8838,1.289,1.1314,0.9294,0.796,1.4614,1.4218,1.3372,1.1679,1.3375,1.2982,1.2102,0.9965
dan,Latn,dani1285,Danish,,Indo-European,Classical Indo-European,Germanic,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > North Germanic > South Scandinavian,Indo-European > Germanic > North Germanic > South Scandinavian,Danish,dan_Latn,997,Latin,Alphabet,1,1 byte,880593500,873291872,2.2725,2.3387,2.3873,2.275,1.3562,1.3493,1.3049,1.2565,1.7588,1.6773,1.5408,1.3481,1.2351,1.1824,1.0988,1.0217,1.3495,1.3393,1.2906,1.2363,1.2697,1.2492,1.2052,1.1301
dar,Cyrl,darg1241,Dargwa,dev only,Nakh-Daghestanian,Daghestanian,Dargwic,Nakh-Daghestanian > Daghestanian > Dargwic,Nakh-Daghestanian,Dargwa,dar_Cyrl,997,Cyrillic,Alphabet,2,2 bytes,,,4.5474,4.467,4.2972,3.5915,3.3387,3.342,3.1164,2.3671,4.5131,4.3181,3.8051,2.6009,2.5108,2.4561,2.3603,2.0522,3.4786,3.5914,3.632,3.4312,3.2162,3.2307,3.1864,2.9349
deu,Latn,stan1295,German,,Indo-European,Classical Indo-European,Germanic,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > High German > Upper German > Middle-Modern High German > Modern High German > Upper Franconian > Global German,Indo-European > Germanic > West Germanic > High German > Upper German,German,deu_Latn,997,Latin,Alphabet,1,1 byte,11072171606,10978241043,1.7376,1.7282,1.7187,1.6559,1.409,1.4091,1.3887,1.3769,1.5353,1.508,1.4691,1.4058,1.2679,1.2487,1.2128,1.1572,1.3847,1.3724,1.3328,1.2926,1.3145,1.3006,1.2797,1.2451
dgo,Deva,dogr1250,Dogri,dev only,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Eastern Dardic > Himachali > Kangric-Chamealic-Bhattiyali > Kangri-Dogri,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Eastern Dardic > Himachali,Dogri,dgo_Deva,997,Devanagari,Abugida,3,3 bytes,,,2.9211,3.082,3.3022,3.5352,3.8001,3.9498,3.9482,3.9369,4.234,4.3182,4.4622,4.3144,2.6704,2.7696,2.8622,2.9007,3.7641,3.8909,3.7231,3.762,3.8008,3.889,4.0315,4.0697
dik,Latn,sout2832,Southwestern Dinka,,Nilotic,Western Nilotic,Dinka-Nuer,Nilotic > Western Nilotic > Dinka-Nuer > Dinka,Nilotic > Dinka-Nuer > Dinka,Southwestern Dinka,dik_Latn,997,Latin,Alphabet,1,1 byte,,,3.0495,3.3324,3.6959,4.3256,1.3969,1.369,1.2429,0.9469,2.0907,1.9122,1.5793,1.0396,1.3297,1.2574,1.1004,0.7784,1.4335,1.4376,1.3732,1.1759,1.463,1.4152,1.2898,1.0017
dyu,Latn,dyul1238,Dyula,,Mande,Western Mande,Manding-Kpelle,Mande > Western Mande > Manding-Kpelle > Central Mande > Manding-Jogo > Manding-Vai > Manding-Mokole > Manding > East Manding,Mande,Dyula,dyu_Latn,997,Latin,Alphabet,1,1 byte,,,3.3697,3.6739,4.0571,4.608,1.5958,1.5469,1.3704,0.9458,2.3824,2.158,1.7423,1.0408,1.366,1.2695,1.0966,0.89,1.6661,1.6626,1.5874,1.3375,1.5715,1.5335,1.4258,1.1374
dzo,Tibt,dzon1239,Dzongkha,,Sino-Tibetan,Bodic,Bodish,Sino-Tibetan > Bodic > Bodish > Early Old Tibetan > Middle Old Tibetan > Late Old Tibetan > Southern Tibetic > Dzongkhic > Nuclear Dzongkhic,Sino-Tibetan > Bodic > Southern Tibetic,Dzongkha,dzo_Tibt,997,Tibetan,Abugida,3,3 bytes,208006,207770,3.6849,3.7781,4.0888,4.8836,6.4359,6.5428,6.4029,5.7465,5.2209,5.3278,5.5101,5.7779,3.1972,3.4595,3.9013,4.654,6.1287,6.0036,5.2487,4.9853,4.7875,4.9014,5.0882,5.3797
ekk,Latn,esto1258,Estonian,,Uralic,Finnic,Coastal Finnic,Uralic > Finnic > Coastal Finnic > Neva > Central Finnic,Uralic > Finnic > Central Finnic,Estonian,ekk_Latn,997,Latin,Alphabet,1,1 byte,270383021,268165050,3.1488,3.4233,3.7633,4.2342,1.3842,1.3248,1.181,0.895,2.0683,1.8485,1.5006,0.9873,1.2775,1.1357,0.8857,0.7138,1.4544,1.4397,1.3673,1.1938,1.31,1.2634,1.1733,0.9736
