case,fixed_t,t_low,pps_low,bpp_low,t_mid,pps_mid,bpp_mid,t_high,pps_high,bpp_high,t_anchor,pps_anchor,bpp_anchor,final_thresholds
raw_entropy,,1.8330,35.95,3.5526,2.1167,28.81,4.4245,2.4004,23.03,5.5167,1.9458,32.73,3.9001,"['1.8330', '1.9458', '2.1167', '2.4004']"
raw_monotonicity,,0.5191,36.05,3.4924,0.8930,28.41,4.4379,1.2668,22.97,5.4913,0.6664,32.74,3.8450,"['0.5191', '0.6664', '0.8930', '1.2668']"
