case,fixed_t,t_low,pps_low,bpp_low,t_mid,pps_mid,bpp_mid,t_high,pps_high,bpp_high,t_anchor,pps_anchor,bpp_anchor,final_thresholds
raw_entropy,,1.9766,36.35,3.5088,2.2402,29.45,4.3192,2.5039,23.28,5.4377,2.1064,32.75,3.8901,"['1.9766', '2.1064', '2.2402', '2.5039']"
raw_monotonicity,,0.5758,35.98,3.5054,0.9354,28.50,4.4190,1.2951,22.88,5.5070,0.7146,32.76,3.8472,"['0.5758', '0.7146', '0.9354', '1.2951']"
norm_entropy,,0.5684,35.95,3.5019,0.8271,28.78,4.3826,1.0859,22.97,5.5056,0.6758,32.79,3.8425,"['0.5684', '0.6758', '0.8271', '1.0859']"
combined,1.5117,0.0000,36.09,3.4993,0.6094,28.84,4.3717,1.2188,22.98,5.4820,0.2812,32.80,3.8412,"['0.0000', '0.2812', '0.6094', '1.2188']"
