case,fixed_t,t_low,pps_low,bpp_low,t_mid,pps_mid,bpp_mid,t_high,pps_high,bpp_high,t_anchor,pps_anchor,bpp_anchor,final_thresholds
raw_entropy,,1.9082,36.04,7.0802,2.1782,28.98,8.7913,2.4482,23.04,11.0355,2.0176,32.80,7.7720,"['1.9082', '2.0176', '2.1782', '2.4482']"
raw_monotonicity,,1.9182,35.98,7.0601,2.1985,28.68,8.8573,2.4789,22.97,11.0091,2.0371,32.73,7.7531,"['1.9182', '2.0371', '2.1985', '2.4789']"
norm_entropy,,1.2397,36.01,6.9881,1.5168,28.57,8.8264,1.7939,22.99,10.9790,1.3472,32.81,7.6709,"['1.2397', '1.3472', '1.5168', '1.7939']"
combined,1.9082,0.0000,36.04,7.0799,1.2334,36.03,7.0814,2.4668,23.03,10.9885,2.0068,32.78,7.7633,"['0.0000', '1.2334', '2.0068', '2.4668']"
