case,fixed_t,t_low,pps_low,bpp_low,t_mid,pps_mid,bpp_mid,t_high,pps_high,bpp_high,t_anchor,pps_anchor,bpp_anchor,final_thresholds
raw_entropy,,1.2041,36.04,3.5451,1.5117,28.61,4.4828,1.8193,22.98,5.5804,1.3340,32.80,3.9014,"['1.2041', '1.3340', '1.5117', '1.8193']"
raw_monotonicity,,0.2359,36.02,3.5029,0.5899,28.53,4.4167,0.9439,23.00,5.4805,0.3662,32.75,3.8556,"['0.2359', '0.3662', '0.5899', '0.9439']"
norm_entropy,,0.4023,36.03,3.4877,0.7173,28.68,4.3858,1.0322,23.01,5.4769,0.5293,32.81,3.8309,"['0.4023', '0.5293', '0.7173', '1.0322']"
combined,0.5000,0.0000,35.80,3.5320,0.4717,30.44,4.1505,0.9434,23.00,5.4826,0.2578,32.82,3.8523,"['0.0000', '0.2578', '0.4717', '0.9434']"
