case,fixed_t,t_low,pps_low,bpp_low,t_mid,pps_mid,bpp_mid,t_high,pps_high,bpp_high,t_anchor,pps_anchor,bpp_anchor,final_thresholds
raw_entropy,,1.8057,36.50,3.4921,2.0928,29.05,4.3815,2.3799,23.05,5.5021,1.9355,32.75,3.8929,"['1.8057', '1.9355', '2.0928', '2.3799']"
raw_monotonicity,,0.5248,35.98,3.5032,0.9015,28.35,4.4454,1.2781,22.93,5.4923,0.6664,32.76,3.8475,"['0.5248', '0.6664', '0.9015', '1.2781']"
norm_entropy,,0.5342,36.01,3.4996,0.8052,28.66,4.3996,1.0762,22.95,5.5009,0.6416,32.78,3.8420,"['0.5342', '0.6416', '0.8052', '1.0762']"
combined,1.2656,0.0000,36.07,3.5019,0.6328,28.91,4.3589,1.2656,23.10,5.4526,0.2754,32.79,3.8468,"['0.0000', '0.2754', '0.6328', '1.2656']"
