lang_code,t_0.4072,t_0.5293,t_0.7222,t_1.0371
lld_Latn,1.3392,1.274,1.1522,1.0173
lld_Latn_gard1241,1.3325,1.2654,1.1589,1.0426
lmo_Latn,1.4389,1.3781,1.2551,1.1014
ltg_Latn,1.3319,1.1939,0.9424,0.7292
ltz_Latn,1.3224,1.2295,1.0801,0.9695
lua_Latn,1.4068,1.3419,1.189,0.8697
lug_Latn,1.3586,1.2731,1.0635,0.7345
luo_Latn,1.3624,1.2863,1.134,0.9051
lus_Latn,1.4278,1.3702,1.2346,1.0069
lvs_Latn,1.4485,1.2967,1.0265,0.7816
mag_Deva,2.4827,2.5746,2.6241,2.6823
mai_Deva,2.5563,2.6701,2.7768,2.8755
mal_Mlym,2.9449,3.0935,3.3302,3.6589
mar_Deva,2.6777,2.7603,2.8328,2.8969
mfe_Latn,1.1554,1.0813,0.9554,0.8652
mhr_Cyrl,2.216,2.1612,2.0583,1.7789
min_Arab,2.0518,2.0408,1.976,1.705
min_Latn,1.3699,1.3055,1.1522,0.9242
mkd_Cyrl,1.8721,1.8075,1.7101,1.5876
mlt_Latn,1.4568,1.3365,1.1261,0.9244
mni_Beng,2.7862,2.8913,2.9859,3.0008
mni_Mtei,3.1438,3.3659,3.704,4.0027
mos_Latn,1.3975,1.2973,1.1126,0.8186
mri_Latn,1.5476,1.4903,1.3357,1.0365
mya_Mymr,3.869,4.1541,4.61,5.3059
myv_Cyrl,2.2853,2.2237,2.1224,1.8786
nld_Latn,1.2479,1.2266,1.1934,1.1586
nno_Latn,1.2361,1.1758,1.0912,1.0092
nob_Latn,1.1926,1.1434,1.0672,0.9937
nob_Latn_radical,1.1972,1.1455,1.068,0.9926
npi_Deva,2.6011,2.6705,2.7193,2.7875
nqo_Nkoo,2.324,2.235,2.1008,1.7679
nso_Latn,1.483,1.3922,1.2302,1.0051
nus_Latn,1.8773,1.7572,1.47,0.8379
nya_Latn,1.4378,1.353,1.158,0.8394
oci_Latn,1.3771,1.3292,1.2553,1.141
oci_Latn_aran1260,1.3893,1.3342,1.2484,1.1212
ory_Orya,2.647,2.7626,2.9103,3.0699
pag_Latn,1.3206,1.243,1.0777,0.8667
pan_Guru,2.7252,2.9029,3.1447,3.3241
pap_Latn,1.3487,1.2787,1.1431,1.0049
pbt_Arab,1.7319,1.6782,1.6263,1.496
pes_Arab,1.9742,1.7976,1.5946,1.3364
plt_Latn,1.6938,1.558,1.281,0.9013
pol_Latn,1.3215,1.2871,1.2189,1.103
por_Latn,1.2452,1.2182,1.1851,1.1429
prs_Arab,1.8082,1.668,1.531,1.3208
quy_Latn,1.4612,1.3708,1.1347,0.7387
ron_Latn,1.4283,1.373,1.2938,1.1814
run_Latn,1.4493,1.3593,1.1551,0.8541
rus_Cyrl,1.7826,1.7335,1.6522,1.5804
sag_Latn,1.4952,1.4402,1.3076,0.9833
san_Deva,2.6585,2.7493,2.8328,2.876
sat_Olck,3.3334,3.5921,4.0177,4.6454
scn_Latn,1.3716,1.3095,1.1871,0.994
shn_Mymr,4.1606,4.4276,4.8244,5.2907
sin_Sinh,2.8018,2.9834,3.2316,3.4172
slk_Latn,1.3872,1.3128,1.1604,0.9663
slv_Latn,1.2253,1.1724,1.077,0.9476
smo_Latn,1.6845,1.5849,1.3481,0.9269
sna_Latn,1.4794,1.3705,1.141,0.7906
snd_Arab,1.8987,1.898,1.855,1.6325
snd_Deva,2.6777,2.7768,2.8557,2.9243
som_Latn,1.4879,1.3727,1.1436,0.908
sot_Latn,1.5598,1.4848,1.3224,1.0381
spa_Latn,1.3311,1.3136,1.282,1.2637
srd_Latn,1.4513,1.3877,1.268,1.1025
srp_Cyrl,1.7286,1.6762,1.5871,1.4922
ssw_Latn,1.4707,1.3646,1.1286,0.7659
sun_Latn,1.3669,1.2899,1.1057,0.8609
swe_Latn,1.2362,1.1892,1.1117,1.0329
swh_Latn,1.3771,1.305,1.1394,0.8608
szl_Latn,1.3776,1.3003,1.1623,0.9677
tam_Taml,2.9129,3.0039,3.2154,3.6131
taq_Latn,1.3482,1.242,1.0498,0.7895
taq_Tfng,2.5624,2.704,2.9165,3.1789
tat_Cyrl,2.205,2.1321,1.9799,1.6061
tel_Telu,2.7755,2.8726,2.9843,3.0455
tgk_Cyrl,2.2562,2.1936,2.0893,1.8262
tha_Thai,2.9085,3.071,3.274,3.4511
tir_Ethi,1.9426,2.0589,2.2436,2.4463
tpi_Latn,1.6616,1.5816,1.4168,1.1725
tsn_Latn,1.6002,1.5262,1.3832,1.0763
tso_Latn,1.5737,1.4992,1.3313,1.0305
tuk_Latn,1.5066,1.3327,1.0272,0.778
tum_Latn,1.6971,1.5959,1.3841,1.0217
tur_Latn,1.43,1.3257,1.1051,0.8381
twi_Latn_akua1239,1.4516,1.3555,1.1578,0.7713
twi_Latn_asan1239,1.5169,1.4143,1.2052,0.8022
tyv_Cyrl,2.5012,2.4492,2.3526,2.0056
uig_Arab,2.249,2.1739,2.0514,1.7013
ukr_Cyrl,1.7159,1.6614,1.5814,1.5122
umb_Latn,1.3576,1.2484,1.0191,0.7538
urd_Arab,1.8526,1.6853,1.5442,1.3982
uzn_Latn,1.453,1.332,1.0831,0.8025
uzs_Arab,2.36,2.0458,1.6322,1.2636
vec_Latn,1.2694,1.2235,1.1374,1.0195
vie_Latn,1.5166,1.4756,1.4007,1.3676
vmw_Latn,1.6075,1.4973,1.2137,0.7859
war_Latn,1.6983,1.6576,1.5295,1.1563
wol_Latn,1.2589,1.1773,1.0348,0.9174
wuu_Hans,1.0902,1.0557,0.9993,0.9235
xho_Latn,1.41,1.3086,1.0865,0.7399
ydd_Hebr,2.9851,3.2047,3.4567,3.0094
yor_Latn,1.7766,1.6531,1.4135,0.9777
yue_Hant,1.0066,0.9772,0.9437,0.9279
zgh_Tfng,2.6377,2.8232,3.1216,3.4906
zsm_Latn,1.3186,1.3015,1.2492,1.1215
zul_Latn,1.4758,1.3763,1.1457,0.7708
