lang_code,t_0.2359,t_0.3662,t_0.5928,t_0.9496
taq_Tfng,4.1606,4.1525,4.1287,4.0869
tat_Cyrl,3.9178,3.6388,3.0303,1.9145
tel_Telu,4.4341,4.5181,4.6525,4.4929
tgk_Cyrl,4.2889,4.0111,3.3997,2.1717
tha_Thai,4.5609,4.6558,4.829,5.0162
tir_Ethi,5.5931,5.6748,5.7578,5.467
tpi_Latn,2.566,2.4103,2.1114,1.544
tsn_Latn,2.8521,2.5811,2.0719,1.2502
tso_Latn,2.7557,2.5238,2.0749,1.3177
tuk_Latn,2.4013,2.146,1.7448,1.1149
tum_Latn,2.962,2.7051,2.1992,1.3522
tur_Latn,2.3458,2.2208,1.9899,1.5749
twi_Latn_akua1239,2.1464,1.8912,1.4754,0.9353
twi_Latn_asan1239,2.2497,1.9872,1.5583,1.0085
tyv_Cyrl,4.417,4.2114,3.6918,2.5139
uig_Arab,4.038,3.5156,2.4941,1.1056
ukr_Cyrl,1.862,1.8607,1.8253,1.5051
umb_Latn,2.2839,2.0907,1.705,1.091
urd_Arab,3.4603,2.976,2.1246,1.0734
uzn_Latn,2.4071,2.1967,1.8431,1.1992
uzs_Arab,3.7021,3.2039,2.3923,1.433
vec_Latn,2.0451,1.9229,1.6821,1.2991
vie_Latn,1.7666,1.7446,1.7377,1.7026
vmw_Latn,2.6988,2.4632,1.9688,1.1538
war_Latn,2.7033,2.5839,2.3194,1.7236
wol_Latn,2.2121,2.0463,1.7208,1.1111
wuu_Hans,2.1193,2.0567,1.9331,1.6251
xho_Latn,2.2994,2.0904,1.684,1.0381
ydd_Hebr,4.7778,4.8692,5.0266,5.234
yor_Latn,2.7208,2.4332,1.9493,1.3753
yue_Hant,2.1159,2.049,1.9227,1.6358
zgh_Tfng,4.3132,4.3265,4.3313,4.3218
zsm_Latn,1.8426,1.7571,1.6039,1.3661
zul_Latn,2.4104,2.1963,1.789,1.0973
