lang_code,t_0.2480,t_0.3887,t_0.6260,t_1.0039
pan_Guru,3.9076,4.0094,4.0755,4.0869
pap_Latn,1.6004,1.604,1.5336,1.2921
pbt_Arab,2.6828,2.6888,2.6092,2.3576
pes_Arab,2.6953,2.7112,2.6393,2.3944
plt_Latn,1.8655,1.8538,1.7712,1.5652
pol_Latn,1.4362,1.4124,1.3404,1.2175
por_Latn,1.3295,1.3061,1.2328,1.1641
prs_Arab,2.6181,2.6392,2.5645,2.3134
quy_Latn,1.6274,1.6286,1.5606,1.364
ron_Latn,1.5182,1.4988,1.4331,1.3349
run_Latn,1.7703,1.7976,1.7562,1.5263
rus_Cyrl,2.7373,2.7054,2.5697,2.113
sag_Latn,1.7313,1.7465,1.6863,1.4545
san_Deva,3.6888,3.768,3.7315,3.7637
sat_Olck,4.1616,4.1444,4.282,4.803
scn_Latn,1.6405,1.6347,1.5529,1.3099
shn_Mymr,7.4637,7.494,7.063,6.1368
sin_Sinh,4.321,4.3151,4.2903,4.3588
slk_Latn,1.5079,1.4897,1.4433,1.3259
slv_Latn,1.4274,1.4151,1.3655,1.2664
smo_Latn,1.9791,1.9835,1.8751,1.5709
sna_Latn,1.7102,1.7099,1.6318,1.4117
snd_Arab,2.5999,2.6843,2.7619,2.7815
snd_Deva,3.6637,3.8165,3.6786,3.8058
som_Latn,1.7414,1.765,1.7356,1.5934
sot_Latn,1.9291,1.9357,1.8605,1.6015
spa_Latn,1.4436,1.4225,1.3375,1.2604
srd_Latn,1.6994,1.6905,1.6107,1.4162
srp_Cyrl,2.7717,2.7819,2.6861,2.3396
ssw_Latn,1.7134,1.7219,1.6596,1.4544
sun_Latn,1.5964,1.6177,1.5858,1.4144
swe_Latn,1.3111,1.3019,1.2563,1.2087
swh_Latn,1.7256,1.7683,1.747,1.5621
szl_Latn,1.5242,1.5104,1.4467,1.3179
tam_Taml,5.0906,5.0142,4.4909,4.0984
taq_Latn,1.4332,1.4232,1.3637,1.2129
taq_Tfng,3.1023,3.1424,3.2015,3.5734
tat_Cyrl,2.9507,2.9955,2.94,2.6303
tel_Telu,4.2449,4.2624,3.9798,3.8826
tgk_Cyrl,3.2653,3.3441,3.3332,3.0997
tha_Thai,3.75,3.7044,3.838,4.4057
tir_Ethi,3.6955,4.006,4.3226,4.1431
tpi_Latn,1.837,1.8283,1.7459,1.4969
tsn_Latn,1.9988,1.9972,1.8969,1.611
tso_Latn,1.9238,1.9309,1.857,1.5975
tuk_Latn,1.6816,1.663,1.5872,1.3997
tum_Latn,2.0722,2.08,1.9849,1.669
tur_Latn,1.6496,1.6661,1.6298,1.4789
twi_Latn_akua1239,1.5055,1.4637,1.3422,1.0959
twi_Latn_asan1239,1.5695,1.5244,1.3756,1.1168
tyv_Cyrl,3.3679,3.4715,3.5043,3.3144
uig_Arab,3.064,3.1152,3.072,2.817
ukr_Cyrl,2.7107,2.6875,2.5527,2.1209
umb_Latn,1.592,1.5974,1.5248,1.2869
urd_Arab,2.7726,2.7747,2.6733,2.364
uzn_Latn,1.6843,1.6934,1.661,1.5324
uzs_Arab,2.8781,2.8435,2.7043,2.3942
vec_Latn,1.4971,1.4964,1.4277,1.2617
vie_Latn,1.6276,1.6169,1.6016,1.6121
vmw_Latn,1.8669,1.8965,1.8436,1.5957
war_Latn,1.8956,1.9464,1.9482,1.7785
wol_Latn,1.5242,1.5455,1.5112,1.3417
wuu_Hans,1.4783,1.5286,1.5566,1.4755
xho_Latn,1.5944,1.6077,1.5529,1.3482
ydd_Hebr,3.195,3.4622,3.8886,4.5847
yor_Latn,1.884,1.8374,1.6919,1.4488
yue_Hant,1.4527,1.4984,1.5228,1.4455
zgh_Tfng,3.2613,3.2803,3.3199,3.7564
zsm_Latn,1.491,1.4687,1.3937,1.2457
zul_Latn,1.6728,1.6895,1.6426,1.4451
