Language                       Code               Sentences  Total patches  Total bytes  Avg b/patch  Avg patches/sent  Premium vs EN
Southwestern Dinka             dik_Latn                 997         101811       121595       1.1943          102.1174         4.2132
Ganda                          lug_Latn                 997         101861       129453       1.2709          102.1675         4.2152
Umbundu                        umb_Latn                 997         102313       130262       1.2732          102.6209         4.2339
Wolof                          wol_Latn                 997         102493       124590       1.2156          102.8014         4.2414
Central Aymara                 ayr_Latn                 997         102744       134408       1.3082          103.0532         4.2518
Māori                          mri_Latn                 997         103576       145173       1.4016          103.8877         4.2862
Tok Pisin                      tpi_Latn                 997         103836       160301       1.5438          104.1484         4.2970
Kimbundu                       kmb_Latn                 997         103977       139665       1.3432          104.2899         4.3028
Tibetan                        bod_Tibt                 997         105083       418753       3.9850          105.3992         4.3486
Ilocano                        ilo_Latn                 997         106210       152021       1.4313          106.5296         4.3952
Fijian                         fij_Latn                 997         106235       146344       1.3775          106.5547         4.3962
Tamasheq (Latin)               taq_Latn                 997         106259       127393       1.1989          106.5787         4.3972
Paraguayan Guaraní             gug_Latn                 997         106609       136756       1.2828          106.9298         4.4117
Faroese                        fao_Latn                 997         107066       137496       1.2842          107.3882         4.4306
Hausa                          hau_Latn                 997         107483       137707       1.2812          107.8064         4.4479
Mossi                          mos_Latn                 997         107610       130902       1.2164          107.9338         4.4531
Lithuanian                     lit_Latn                 997         108035       134578       1.2457          108.3601         4.4707
Xhosa                          xho_Latn                 997         108255       133902       1.2369          108.5807         4.4798
Chichewa                       nya_Latn                 997         109161       141777       1.2988          109.4895         4.5173
Dyula                          dyu_Latn                 997         109241       134515       1.2314          109.5697         4.5206
Eastern Yiddish                ydd_Hebr                 997         109275       243984       2.2328          109.6038         4.5220
Basque                         eus_Latn                 997         109480       133948       1.2235          109.8094         4.5305
Latgalian                      ltg_Latn                 997         109559       131761       1.2026          109.8887         4.5338
Rundi                          run_Latn                 997         110509       140346       1.2700          110.8415         4.5731
Shona                          sna_Latn                 997         110731       140602       1.2698          111.0642         4.5823
Bambara                        bam_Latn                 997         110875       131109       1.1825          111.2086         4.5882
Akuapem Twi                    twi_Latn_akua1239        997         111060       132468       1.1928          111.3942         4.5959
Swati                          ssw_Latn                 997         111491       140848       1.2633          111.8265         4.6137
Kinyarwanda                    kin_Latn                 997         111694       143205       1.2821          112.0301         4.6221
Central Kanuri (Latin)         knc_Latn                 997         111989       139286       1.2437          112.3260         4.6344
Jingpho                        kac_Latn                 997         112019       158191       1.4122          112.3561         4.6356
Icelandic                      isl_Latn                 997         112197       137283       1.2236          112.5346         4.6430
Zulu                           zul_Latn                 997         112865       140368       1.2437          113.2046         4.6706
