Glottocode,Code,Code_Orig,Sentences,Notes,CC_Pages,CC_Urls,Name,Script,Script_Type,Bytes_Per_Char,Family,Full_Classification,Minimal_Full_Classification,raw_entropy_t_1.9082_bpp,raw_entropy_t_1.9082_pps,raw_entropy_t_1.9082_pps_premium,raw_entropy_t_2.0176_bpp,raw_entropy_t_2.0176_pps,raw_entropy_t_2.0176_pps_premium,raw_entropy_t_2.1782_bpp,raw_entropy_t_2.1782_pps,raw_entropy_t_2.1782_pps_premium,raw_entropy_t_2.4482_bpp,raw_entropy_t_2.4482_pps,raw_entropy_t_2.4482_pps_premium,raw_monotonicity_t_1.9182_bpp,raw_monotonicity_t_1.9182_pps,raw_monotonicity_t_1.9182_pps_premium,raw_monotonicity_t_2.0371_bpp,raw_monotonicity_t_2.0371_pps,raw_monotonicity_t_2.0371_pps_premium,raw_monotonicity_t_2.1985_bpp,raw_monotonicity_t_2.1985_pps,raw_monotonicity_t_2.1985_pps_premium,raw_monotonicity_t_2.4789_bpp,raw_monotonicity_t_2.4789_pps,raw_monotonicity_t_2.4789_pps_premium
nucl1643,jpn,jpn_Jpan,997,,9870174960.0,9822995554.0,Japanese,Jpan,Logosyllabary,3 bytes,Japonic,Japonic > Japanesic > Japan-Taiwan Japanese,Japonic,2.8451,38.5376,1.0684,2.9658,36.9699,1.127,3.136,34.9629,1.2066,3.482,31.4895,1.367,3.5316,31.0471,0.8629,3.683,29.7703,0.9095,3.9093,28.0471,0.978,4.3844,25.008,1.0886
nucl1302,kat,kat_Geor,997,,79782785.0,79423527.0,Georgian,Geor,Alphabet,2 bytes,Kartvelian,Kartvelian > Georgian-Zan > Georgic,Kartvelian,8.2195,33.666,0.9333,9.0419,30.6038,0.9329,10.2332,27.0411,0.9332,12.779,21.654,0.94,8.3163,33.2738,0.9248,9.0627,30.5336,0.9328,10.1965,27.1384,0.9463,12.8009,21.6169,0.941
kore1280,kor,kor_Hang,997,,1405630472.0,1399528315.0,Korean,Hang,Syllabary,3 bytes,Koreanic,Koreanic,Koreanic,3.1462,40.1755,1.1138,3.2709,38.6439,1.178,3.4901,36.2166,1.2499,3.9561,31.9509,1.387,3.7596,33.6209,0.9344,3.9643,31.8847,0.974,4.3042,29.3671,1.024,5.019,25.1846,1.0963
nyan1308,nya,nya_Latn,997,,928706.0,925245.0,Nyanja,Latn,Alphabet,1 byte,Atlantic-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > East Bantu > Tumbuka-Sena-Nyanja > Sena-Nyanja > Nyanjaic,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > East Bantu > Tumbuka-Sena-Nyanja > Sena-Nyanja,7.563,37.5216,1.0402,8.4199,33.7031,1.0274,10.1399,27.986,0.9658,15.671,18.1083,0.7861,7.5908,37.3842,1.039,8.5339,33.2528,1.0158,10.3249,27.4845,0.9583,16.5608,17.1354,0.7459
roma1327,ron,ron_Latn,997,,1125558850.0,1119333515.0,Romanian,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Eastern Romance > Northern Romanian > Eastern Romanian,Indo-European > Italic > Eastern Romance,7.0503,40.1304,1.1125,7.8711,35.9458,1.0958,9.0688,31.1986,1.0767,11.3337,24.9639,1.0837,7.1158,39.7613,1.1051,7.9892,35.4142,1.0819,9.139,30.9589,1.0795,11.4822,24.6409,1.0727
amer1254,spa,spa_Latn,997,,8721329091.0,8661896197.0,Spanish (Latin American),Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance > West Ibero-Romance > Castilic > Spanish,Indo-European > Italic > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance > West Ibero-Romance > Castilic,7.618,39.2849,1.0891,8.267,36.2006,1.1036,9.2853,32.2307,1.1123,11.3063,26.4694,1.149,7.6365,39.1896,1.0892,8.3872,35.682,1.0901,9.3402,32.0411,1.1172,11.4848,26.0582,1.1344
serb1264,srp,srp_Cyrl,997,,428606923.0,426190099.0,Serbian,Cyrl,Alphabet,2 bytes,Indo-European,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian,Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian,7.3515,33.9739,0.9419,7.9808,31.2949,0.954,9.0296,27.66,0.9546,11.3984,21.9117,0.9512,7.4525,33.5135,0.9315,8.1111,30.7924,0.9407,9.1497,27.2969,0.9518,11.4,21.9087,0.9537
tami1289,tam,tam_Taml,997,,85165919.0,84823478.0,Tamil,Taml,Abugida,3 bytes,Dravidian,Dravidian > South Dravidian > South Dravidian I > Tamil-Kannada > Tamil-Kota > Tamil-Toda > Tamil-Irula > Tamil-Kodagu > Tamil-Malayalam > Tamiloid > Tamil-Paliyan,Dravidian > South Dravidian I > Tamil-Kota > Tamiloid,8.154,35.9498,0.9966,8.9282,32.8325,1.0009,10.2245,28.67,0.9894,14.0218,20.9057,0.9075,8.2147,35.6841,0.9918,9.0359,32.4413,0.9911,10.434,28.0943,0.9796,14.7091,19.9288,0.8675
thai1261,tha,tha_Thai,997,,745804664.0,741927782.0,Thai,Thai,Abugida,3 bytes,Tai-Kadai,Tai-Kadai > Kam-Tai > Daic-Beic > Daic > Central-Southwestern Tai > Wenma-Southwestern Tai > Sapa-Southwestern Tai > Southwestern Tai > Southwestern Thai PH > Lao-Thai,Tai-Kadai > Southwestern Thai PH,5.4252,44.4704,1.2329,5.7882,41.681,1.2706,6.4394,37.4664,1.293,8.0866,29.8345,1.2951,5.5881,43.1735,1.1999,5.975,40.3781,1.2335,6.621,36.4383,1.2706,8.3441,28.9137,1.2587
viet1252,vie,vie_Latn,997,,1815676717.0,1803286122.0,Vietnamese,Latn,Alphabet,1 byte,Austroasiatic,Austroasiatic > Vietic > Viet-Muong,Austroasiatic > Vietic,5.5248,47.9248,1.3286,5.8816,45.0171,1.3723,6.5806,40.2357,1.3886,8.3713,31.6289,1.373,5.6119,47.1805,1.3113,6.0275,43.9278,1.342,6.8057,38.9047,1.3566,8.9391,29.6199,1.2894
