Glottocode,Code,Code_Orig,Sentences,Notes,CC_Pages,CC_Urls,Name,Script,Script_Type,Bytes_Per_Char,Family,Full_Classification,Minimal_Full_Classification,combined_t_0.0000_bpp,combined_t_0.0000_pps,combined_t_0.0000_pps_premium,combined_t_0.2754_bpp,combined_t_0.2754_pps,combined_t_0.2754_pps_premium,combined_t_0.6328_bpp,combined_t_0.6328_pps,combined_t_0.6328_pps_premium,combined_t_1.2656_bpp,combined_t_1.2656_pps,combined_t_1.2656_pps_premium,norm_entropy_t_0.5342_bpp,norm_entropy_t_0.5342_pps,norm_entropy_t_0.5342_pps_premium,norm_entropy_t_0.6416_bpp,norm_entropy_t_0.6416_pps,norm_entropy_t_0.6416_pps_premium,norm_entropy_t_0.8052_bpp,norm_entropy_t_0.8052_pps,norm_entropy_t_0.8052_pps_premium,norm_entropy_t_1.0762_bpp,norm_entropy_t_1.0762_pps,norm_entropy_t_1.0762_pps_premium,raw_entropy_t_1.8057_bpp,raw_entropy_t_1.8057_pps,raw_entropy_t_1.8057_pps_premium,raw_entropy_t_1.9355_bpp,raw_entropy_t_1.9355_pps,raw_entropy_t_1.9355_pps_premium,raw_entropy_t_2.0928_bpp,raw_entropy_t_2.0928_pps,raw_entropy_t_2.0928_pps_premium,raw_entropy_t_2.3799_bpp,raw_entropy_t_2.3799_pps,raw_entropy_t_2.3799_pps_premium,raw_monotonicity_t_0.5248_bpp,raw_monotonicity_t_0.5248_pps,raw_monotonicity_t_0.5248_pps_premium,raw_monotonicity_t_0.6664_bpp,raw_monotonicity_t_0.6664_pps,raw_monotonicity_t_0.6664_pps_premium,raw_monotonicity_t_0.9015_bpp,raw_monotonicity_t_0.9015_pps,raw_monotonicity_t_0.9015_pps_premium,raw_monotonicity_t_1.2781_bpp,raw_monotonicity_t_1.2781_pps,raw_monotonicity_t_1.2781_pps_premium
achi1257,ace,ace_Arab,997,,,,Acehnese (Jawi script),Arab,Abjad,2 bytes,Austronesian,Austronesian > Malayo-Polynesian > Malayo-Chamic > Aceh-Chamic,Austronesian > Malayo-Chamic > Aceh-Chamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
achi1257,ace,ace_Latn,997,,,,Acehnese (Latin script),Latn,Alphabet,1 byte,Austronesian,Austronesian > Malayo-Polynesian > Malayo-Chamic > Aceh-Chamic,Austronesian > Malayo-Chamic > Aceh-Chamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meso1252,acm,acm_Arab,997,,,,Mesopotamian Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Eastern Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Eastern Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taiz1242,acq,acq_Arab,997,,,,Taʽizzi-Adeni Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Arabian Peninsula Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Arabian Peninsula Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuni1259,aeb,aeb_Arab,997,,,,Tunisian Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > North African Arabic > Western Middle Arabic > Maghrebi > Malta-Tunisian Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > North African Arabic > Malta-Tunisian Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afri1274,afr,afr_Latn,997,,20215994.0,20131887.0,Afrikaans,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > Macro-Dutch > Middle-Modern Dutch > Modern Dutch > Global Dutch > Afrikaansic,Indo-European > Germanic > West Germanic > Macro-Dutch > Afrikaansic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tosk1239,als,als_Latn,997,,84761612.0,84375408.0,Albanian (Tosk),Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Albanian > Albanian-Tosk,Indo-European > Albanian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amha1245,amh,amh_Ethi,997,,5733709.0,5702512.0,Amharic,Ethi,Abugida,3 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Ethiosemitic > South Ethiopic > Amharic-Argobba,Afro-Asiatic > Semitic > Ethiosemitic > South Ethiopic,3.778,57.9809,1.6069,4.1936,52.2347,1.5926,4.894,44.7593,1.5478,7.4607,29.3611,1.2709,3.2083,68.2778,1.8963,3.4383,63.7101,1.9437,3.9484,55.4784,1.9361,5.9249,36.9719,1.6108,10.8833,20.1274,0.5514,12.9359,16.9338,0.517,16.1476,13.5657,0.467,24.7811,8.8395,0.3835,3.1232,70.1374,1.9495,3.5725,61.317,1.8715,4.5299,48.3571,1.7055,7.632,28.7021,1.2517
nort3139,apc,apc_Arab_nort3139,997,,,,Levantine Arabic (North),Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Levantine-Cypriot Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Levantine-Cypriot Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sout3123,apc,apc_Arab_sout3123,997,,,,Levantine Arabic (South),Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Levantine-Cypriot Arabic > Levantine Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Levantine-Cypriot Arabic > Levantine Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stan1318,arb,arb_Arab,997,,1258479625.0,1251265891.0,Modern Standard Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian,4.0595,49.5577,1.3735,4.1244,48.7783,1.4873,4.4262,45.4524,1.5717,9.2121,21.8385,0.9453,3.9487,50.9478,1.415,4.1737,48.2016,1.4705,4.5567,44.1505,1.5408,5.4445,36.9509,1.6099,6.9783,28.8295,0.7898,8.8356,22.7693,0.6952,12.0372,16.7131,0.5753,20.8045,9.67,0.4195,3.1271,64.335,1.7882,3.8455,52.3159,1.5968,5.1403,39.1374,1.3803,9.4442,21.3019,0.929
stan1318,arb,arb_Latn,997,,1258479625.0,1251265891.0,Modern Standard Arabic (Romanized),Latn,Alphabet,1 byte,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arag1245,arg,arg_Latn,997,,,,Aragonese,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Unshifted Western Romance,Indo-European > Italic > Italo-Western Romance > Western Romance > Unshifted Western Romance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
najd1235,ars,ars_Arab,997,,,,Najdi Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Arabian Peninsula Arabic > North Arabian Beduin Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Arabian Peninsula Arabic > North Arabian Beduin Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moro1292,ary,ary_Arab,997,,,,Moroccan Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > North African Arabic > Western Middle Arabic > Maghrebi,Afro-Asiatic > Semitic > Central Semitic > Arabian > North African Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egyp1253,arz,arz_Arab,997,,,,Egyptian Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Egyptic Arabic > Egypto-Sudanic Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Egyptic Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
