Glottocode,Code,Code_Orig,Sentences,Notes,CC_Pages,CC_Urls,Name,Script,Script_Type,Bytes_Per_Char,Family,Full_Classification,Minimal_Full_Classification,char_raw_entropy_t_1.6279_bpp,char_raw_entropy_t_1.6279_pps,char_raw_entropy_t_1.6279_pps_premium,char_raw_entropy_t_1.7488_bpp,char_raw_entropy_t_1.7488_pps,char_raw_entropy_t_1.7488_pps_premium,char_raw_entropy_t_1.9207_bpp,char_raw_entropy_t_1.9207_pps,char_raw_entropy_t_1.9207_pps_premium,char_raw_entropy_t_2.2134_bpp,char_raw_entropy_t_2.2134_pps,char_raw_entropy_t_2.2134_pps_premium,char_raw_monotonicity_t_0.4227_bpp,char_raw_monotonicity_t_0.4227_pps,char_raw_monotonicity_t_0.4227_pps_premium,char_raw_monotonicity_t_0.5552_bpp,char_raw_monotonicity_t_0.5552_pps,char_raw_monotonicity_t_0.5552_pps_premium,char_raw_monotonicity_t_0.7856_bpp,char_raw_monotonicity_t_0.7856_pps,char_raw_monotonicity_t_0.7856_pps_premium,char_raw_monotonicity_t_1.1486_bpp,char_raw_monotonicity_t_1.1486_pps,char_raw_monotonicity_t_1.1486_pps_premium
nucl1643,jpn,jpn_Jpan,997,,9870174960.0,9822995554.0,Japanese,Jpan,Logosyllabary,3 bytes,Japonic,Japonic > Japanesic > Japan-Taiwan Japanese,Japonic,3.2487,49.4132,1.3732,3.2964,48.6991,1.4857,3.3733,47.5878,1.6596,3.5383,45.3691,1.9764,7.0413,22.7984,0.6339,7.4743,21.4774,0.6557,8.3747,19.1685,0.6812,10.1309,15.8455,0.6897
nucl1302,kat,kat_Geor,997,,79782785.0,79423527.0,Georgian,Geor,Alphabet,2 bytes,Kartvelian,Kartvelian > Georgian-Zan > Georgic,Kartvelian,3.0106,124.1525,3.4501,3.0264,123.5075,3.7679,3.0474,122.656,4.2776,3.0796,121.3741,5.2875,9.5389,39.1846,1.0895,11.1484,33.5276,1.0235,13.6555,27.3721,0.9728,16.6708,22.4213,0.9759
kore1280,kor,kor_Hang,997,,1405630472.0,1399528315.0,Korean,Hang,Syllabary,3 bytes,Koreanic,Koreanic,Koreanic,3.0185,50.1474,1.3936,3.1258,48.4273,1.4774,3.2173,47.0502,1.6409,3.3269,45.4995,1.9821,6.2927,24.0552,0.6688,6.5531,23.0993,0.7052,7.0329,21.5236,0.7649,7.7661,19.4915,0.8484
nyan1308,nya,nya_Latn,997,,928706.0,925245.0,Nyanja,Latn,Alphabet,1 byte,Atlantic-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > East Bantu > Tumbuka-Sena-Nyanja > Sena-Nyanja > Nyanjaic,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > East Bantu > Tumbuka-Sena-Nyanja > Sena-Nyanja,1.1803,120.4824,3.3481,1.2287,115.7362,3.5308,1.3262,107.2277,3.7395,1.6286,87.3159,3.8038,2.9973,47.4433,1.3191,3.578,39.7442,1.2133,5.1128,27.8134,0.9885,9.3391,15.2267,0.6628
roma1327,ron,ron_Latn,997,,1125558850.0,1119333515.0,Romanian,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Eastern Romance > Northern Romanian > Eastern Romanian,Indo-European > Italic > Eastern Romance,1.643,90.8967,2.526,1.8039,82.7884,2.5256,2.1451,69.6219,2.428,3.0037,49.7202,2.166,3.1468,47.4594,1.3195,3.5204,42.4223,1.295,4.3351,34.4504,1.2244,6.066,24.6199,1.0716
amer1254,spa,spa_Latn,997,,8721329091.0,8661896197.0,Spanish (Latin American),Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance > West Ibero-Romance > Castilic > Spanish,Indo-European > Italic > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance > West Ibero-Romance > Castilic,2.7055,56.3791,1.5667,3.0644,49.7763,1.5185,3.6174,42.1675,1.4706,4.5155,33.7803,1.4716,3.124,48.8275,1.3576,3.5127,43.4243,1.3256,4.2907,35.5507,1.2635,5.5331,27.5677,1.1999
serb1264,srp,srp_Cyrl,997,,428606923.0,426190099.0,Serbian,Cyrl,Alphabet,2 bytes,Indo-European,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian,Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian,2.1029,108.001,3.0013,2.1137,107.4504,3.278,2.1259,106.8335,3.7258,2.1414,106.0582,4.6203,4.5572,49.8365,1.3856,4.9988,45.4343,1.387,5.6993,39.8495,1.4162,6.8767,33.0271,1.4375
tami1289,tam,tam_Taml,997,,85165919.0,84823478.0,Tamil,Taml,Abugida,3 bytes,Dravidian,Dravidian > South Dravidian > South Dravidian I > Tamil-Kannada > Tamil-Kota > Tamil-Toda > Tamil-Irula > Tamil-Kodagu > Tamil-Malayalam > Tamiloid > Tamil-Paliyan,Dravidian > South Dravidian I > Tamil-Kota > Tamiloid,3.0922,129.3571,3.5948,3.0954,129.2227,3.9422,3.1029,128.9107,4.4957,3.1218,128.1334,5.582,9.7772,40.9117,1.1375,12.7596,31.349,0.957,18.6504,21.4473,0.7622,22.5911,17.7061,0.7707
thai1261,tha,tha_Thai,997,,745804664.0,741927782.0,Thai,Thai,Abugida,3 bytes,Tai-Kadai,Tai-Kadai > Kam-Tai > Daic-Beic > Daic > Central-Southwestern Tai > Wenma-Southwestern Tai > Sapa-Southwestern Tai > Southwestern Tai > Southwestern Thai PH > Lao-Thai,Tai-Kadai > Southwestern Thai PH,3.3719,103.0722,2.8643,3.4494,100.7553,3.0737,3.559,97.652,3.4056,3.8693,89.8215,3.913,7.5033,46.319,1.2878,8.279,41.9789,1.2815,10.2734,33.8295,1.2023,15.0751,23.0542,1.0035
viet1252,vie,vie_Latn,997,,1815676717.0,1803286122.0,Vietnamese,Latn,Alphabet,1 byte,Austroasiatic,Austroasiatic > Vietic > Viet-Muong,Austroasiatic > Vietic,2.5375,69.1013,1.9203,2.7928,62.7844,1.9154,3.1963,54.8586,1.9132,3.6582,47.9318,2.0881,3.5041,50.0401,1.3913,3.7218,47.1123,1.4382,4.0675,43.1083,1.5321,4.5983,38.1324,1.6597
